activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2021,54930034MNPILHP25H80,20940,CA,06025,06025010500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,6,9,2,1,1,1,2,2,2,5000.0,NA,0.0,NA,2,0.0,NA,0.0,,,360,NA,NA,2,2,2,2,285000,1,1,3,5,1,NA,70,NA,9,9,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,3,3,6,,,,,10,,,,6687,86.5,56200,118,1138,1856,39
2021,54930034MNPILHP25H80,20940,CA,06025,06025010500,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,6,2,2,2,1,1,2,2,2,275000.0,NA,5.25,NA,2,14869.93,NA,7254.5,,,360,NA,NA,2,2,2,2,285000,1,1,3,5,1,NA,70,NA,9,9,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,3,3,6,,,,,10,,,,6687,86.5,56200,118,1138,1856,39
2021,54930034MNPILHP25H80,20940,CA,06025,06025011802,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,6,2,2,2,1,1,2,2,2,265000.0,NA,3.75,NA,2,15159.61,NA,7346.18,,1571.01,360,NA,NA,2,2,2,2,275000,1,1,3,5,1,NA,77,NA,9,9,1,,,,,1,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,35-44,No,No,3,3,6,,,,,10,,,,5748,80.6400000000000006,56200,112,726,1302,41
2021,54930034MNPILHP25H80,20940,CA,06025,06025011802,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,6,9,2,1,1,1,2,2,2,5000.0,NA,0.0,NA,2,0.0,NA,0.0,,,360,NA,NA,2,2,2,2,275000,1,1,3,5,1,NA,77,NA,9,9,1,,,,,1,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,35-44,No,No,3,3,6,,,,,10,,,,5748,80.6400000000000006,56200,112,726,1302,41
2021,54930034MNPILHP25H80,20940,CA,06025,06025012002,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,6,9,2,1,1,1,2,2,2,5000.0,NA,0.0,NA,2,0.0,NA,0.0,,4.11,360,NA,NA,2,2,2,2,345000,1,1,3,5,1,NA,123,NA,9,9,1,11,,,,1,11,,,,2,2,5,,,,,5,,,,,2,2,1,1,2,2,55-64,25-34,No,No,3,3,6,,,,,10,,,,9391,95.8299999999999983,56200,129,1377,2318,17
2021,54930034MNPILHP25H80,20940,CA,06025,06025012002,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,6,2,2,2,1,1,2,2,2,335000.0,NA,4.625,NA,2,16736.17,NA,7785.0,,4.11,360,NA,NA,2,2,2,2,345000,1,1,3,5,1,NA,123,NA,9,9,1,11,,,,1,11,,,,2,2,5,,,,,5,,,,,2,2,1,1,2,2,55-64,25-34,No,No,3,3,6,,,,,10,,,,9391,95.8299999999999983,56200,129,1377,2318,17
2021,54930034MNPILHP25H80,20940,CA,06025,06025011000,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,6,2,2,2,1,1,2,2,2,365000.0,NA,3.0,NA,2,17154.49,NA,8076.75,,0.43,360,NA,NA,2,2,2,2,425000,1,1,3,5,1,NA,146,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,2,2,2,45-54,35-44,No,No,3,3,6,,,,,10,,,,12677,80.1500000000000057,56200,175,2613,3960,18
2021,54930034MNPILHP25H80,20940,CA,06025,06025011000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,6,9,2,1,1,1,2,2,2,5000.0,NA,0.0,NA,2,17154.49,NA,8076.75,,0.43,360,NA,NA,2,2,2,2,425000,1,1,3,5,1,NA,146,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,2,2,2,45-54,35-44,No,No,3,3,6,,,,,10,,,,12677,80.1500000000000057,56200,175,2613,3960,18
2021,54930034MNPILHP25H80,20940,CA,06025,06025011201,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,6,2,2,2,1,1,2,2,2,365000.0,NA,3.125,NA,2,19145.33,NA,9106.24,,165.8,360,NA,NA,2,2,2,2,445000,1,1,3,5,1,NA,105,NA,9,9,1,,,,,5,,,,,2,4,4,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,3,3,6,,,,,10,,,,6162,84.269999999999996,56200,180,1291,1910,15
2021,54930034MNPILHP25H80,20940,CA,06025,06025011201,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,6,9,2,1,1,2,2,2,2,5000.0,NA,0.0,NA,2,0.0,NA,0.0,,,360,NA,NA,2,2,2,2,445000,1,1,3,5,1,NA,105,NA,9,9,1,,,,,5,,,,,2,4,4,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,3,3,6,,,,,10,,,,6162,84.269999999999996,56200,180,1291,1910,15
