geo_id,census_tract,tract_name,population,hispanic_pp,black_pp,hispanic_pp_pct,black_pp_pct
1400000US06037101110,06037101110,"Census Tract 1011.10, Los Angeles County, California",3923,963,17,24.547540147846036,0.4333418302319653
1400000US06037101122,06037101122,"Census Tract 1011.22, Los Angeles County, California",4119,182,148,4.41854819130857,3.593105122602573
1400000US06037101220,06037101220,"Census Tract 1012.20, Los Angeles County, California",3775,1521,94,40.29139072847682,2.490066225165563
1400000US06037101221,06037101221,"Census Tract 1012.21, Los Angeles County, California",3787,1182,213,31.212041193556907,5.624504885133351
1400000US06037101222,06037101222,"Census Tract 1012.22, Los Angeles County, California",2717,1182,4,43.50386455649613,0.1472211998527788
1400000US06037101300,06037101300,"Census Tract 1013, Los Angeles County, California",3741,360,172,9.623095429029672,4.597701149425287
1400000US06037101400,06037101400,"Census Tract 1014, Los Angeles County, California",3246,512,13,15.773259396179915,0.4004929143561306
1400000US06037102103,06037102103,"Census Tract 1021.03, Los Angeles County, California",1920,172,21,8.958333333333334,1.09375
1400000US06037102104,06037102104,"Census Tract 1021.04, Los Angeles County, California",4187,519,83,12.395509911631239,1.9823262479101982
1400000US06037102105,06037102105,"Census Tract 1021.05, Los Angeles County, California",1797,1207,10,67.16750139120758,0.5564830272676683
1400000US06037102107,06037102107,"Census Tract 1021.07, Los Angeles County, California",4082,962,63,23.56687898089172,1.5433610975012249
1400000US06037103101,06037103101,"Census Tract 1031.01, Los Angeles County, California",2484,581,19,23.389694041867955,0.7648953301127215
1400000US06037103102,06037103102,"Census Tract 1031.02, Los Angeles County, California",4716,1292,0,27.3960983884648,0.0
1400000US06037103201,06037103201,"Census Tract 1032.01, Los Angeles County, California",3961,1038,42,26.205503660691743,1.0603382984094925
1400000US06037103202,06037103202,"Census Tract 1032.02, Los Angeles County, California",2569,833,36,32.42506811989101,1.401323472168159
1400000US06037103300,06037103300,"Census Tract 1033, Los Angeles County, California",3726,452,4,12.130971551261407,0.10735373054213634
1400000US06037103401,06037103401,"Census Tract 1034.01, Los Angeles County, California",2596,264,0,10.16949152542373,0.0
1400000US06037103402,06037103402,"Census Tract 1034.02, Los Angeles County, California",3795,803,80,21.15942028985507,2.1080368906455864
1400000US06037104103,06037104103,"Census Tract 1041.03, Los Angeles County, California",3969,2636,540,66.41471403376165,13.60544217687075
1400000US06037104105,06037104105,"Census Tract 1041.05, Los Angeles County, California",5711,4716,240,82.57748205218,4.202416389423918
1400000US06037104108,06037104108,"Census Tract 1041.08, Los Angeles County, California",5551,4838,275,87.15546748333634,4.954062331111511
1400000US06037104124,06037104124,"Census Tract 1041.24, Los Angeles County, California",3843,1833,519,47.69711163153786,13.505074160811867
1400000US06037104201,06037104201,"Census Tract 1042.01, Los Angeles County, California",4718,4210,430,89.23272573124204,9.114031369224247
1400000US06037104203,06037104203,"Census Tract 1042.03, Los Angeles County, California",5420,4930,349,90.95940959409594,6.439114391143912
1400000US06037104204,06037104204,"Census Tract 1042.04, Los Angeles County, California",3684,2905,166,78.85450597176981,4.505971769815418
1400000US06037104310,06037104310,"Census Tract 1043.10, Los Angeles County, California",4961,4669,68,94.11408990122959,1.3706913928643418
