activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2020,AD6GFRVSDT01YPT1CS68,20940,CA,06025,06025010600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,31,1,2,2,2,85000.0,29.0,NA,NA,3,NA,NA,NA,NA,NA,120,NA,NA,2,2,2,2,305000,1,1,3,5,1,NA,45,43,3,3,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,65-74,55-64,Yes,Yes,1,1,1,,,,,9,,,,6653,66.7099999999999937,55600,166,1328,1903,28
2020,549300EKFFG3BU8DNX74,20940,CA,06025,06025011801,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,5,0,2,1,1,1,2,2,2,265000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,73,NA,9,9,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,3,6,,,,,10,,,,3560,70.5100000000000051,55600,199,1008,1241,26
2020,549300EKFFG3BU8DNX74,20940,CA,06025,06025011801,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,3,0,2,2,1,1,2,2,2,275000.0,96.5,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,275000,1,1,3,5,1,NA,30,50%-60%,3,10,1,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,3,1,,,,,1,,,,3560,70.5100000000000051,55600,199,1008,1241,26
2020,549300STXRPOVDJ5GX04,20940,CA,06025,06025011500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Male,1,1,2,1,32,1,2,2,2,145000.0,80.0,3.625,NA,3,6186.15,NA,3871.4,,,360,NA,NA,2,2,2,2,185000,1,1,3,5,1,NA,47,20%-<30%,2,10,1,2,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,2,1,,,,,10,,,,6491,96.2900000000000063,55600,62,601,1613,47
2020,549300X08QKYUH256I80,20940,CA,06025,06025012200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,0,2,1,31,1,2,2,2,145000.0,56.6,2.75,0.563,2,3342.44,NA,1778.01,133.01,,240,NA,NA,2,2,2,2,255000,1,1,3,5,1,NA,52,30%-<36%,1,10,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,1,,,,,10,,,,7661,98.4500000000000028,55600,79,1085,1821,28
2020,549300SVLCM6NZQ53P14,20940,CA,06025,06025011900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,6,2,1,1,1,2,2,2,365000.0,95.0,3.625,0.296,2,5019.39,NA,1650.0,,,360,NA,NA,2,2,2,2,385000,1,1,3,5,1,NA,157,43,7,9,1,11,,,,1,11,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,1,45-54,45-54,No,No,1,2,1,,,,,10,,,,11459,98.730000000000004,55600,102,1583,2761,13
2020,549300SVLCM6NZQ53P14,20940,CA,06025,06025011201,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,6,2,1,31,1,2,2,2,285000.0,95.0,3.0,0.357,2,12289.24,NA,2718.75,1068.75,771.83,360,NA,NA,2,2,2,2,305000,1,1,3,5,1,NA,104,20%-<30%,7,10,1,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,2,1,,,,,10,,,,6162,84.269999999999996,55600,180,1291,1910,15
2020,549300LBCBNR1OT00651,20940,CA,06025,06025011000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,265000.0,NA,3.125,NA,2,0.0,NA,0.0,,,180,NA,NA,2,2,2,2,355000,1,1,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,12677,80.1500000000000057,55600,175,2613,3960,18
2020,549300LBCBNR1OT00651,20940,CA,06025,06025011900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,9,2,1,32,1,2,2,2,215000.0,NA,4.25,NA,2,0.0,NA,0.0,,,240,NA,NA,2,2,2,2,275000,1,1,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,11459,98.730000000000004,55600,102,1583,2761,13
2020,549300LBCBNR1OT00651,20940,CA,06025,06025011803,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,275000.0,NA,2.875,NA,2,0.0,NA,0.0,,,360,NA,NA,2,2,2,2,345000,1,1,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,6697,84.6500000000000057,55600,222,1436,1996,13
