,activity_year_x,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,tax_id,agency_code,respondent_name,respondent_state,respondent_city,respondent_zip_code
0,2018,549300WH9FMXOC63ZV77,36084,CA,06001,06001408500,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,4,0,2,2,31,1,1,2,2,235000.0,,,,3,,,,,,,,,2,2,2,2,,1,1,3,5,1,,0.0,,9,9,2.0,,,,,5.0,,,,,2,4,3.0,,,,,8.0,,,,,2,4,2,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,5660,98.8,104400,53,560,1656,63,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
1,2018,549300WH9FMXOC63ZV77,36084,CA,06001,06001400900,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,4,0,2,2,31,1,1,1,2,355000.0,,,,3,,,,,,,,13.0,2,2,2,2,,1,1,3,5,1,,13.0,,9,9,2.0,,,,,5.0,,,,,3,4,3.0,,,,,8.0,,,,,3,4,1,5,3,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,2175,57.84,104400,80,296,1050,76,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2,2018,549300WH9FMXOC63ZV77,36084,CA,06001,06001425101,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,5,0,2,2,31,1,1,1,2,175000.0,,,,3,,,,,,,,13.0,2,2,2,2,,1,1,3,5,1,,0.0,,9,9,3.0,,,,,5.0,,,,,3,4,6.0,,,,,8.0,,,,,3,4,3,5,3,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,1582,39.25,104400,87,686,150,40,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
3,2018,549300WH9FMXOC63ZV77,36084,CA,06001,06001433400,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,4,0,2,2,31,1,1,2,2,305000.0,,,,3,,,,,,,,,2,2,2,2,,1,1,3,5,1,,24.0,,9,9,2.0,,,,,5.0,,,,,3,4,5.0,,,,,8.0,,,,,3,4,2,5,3,4,>74,9999,Yes,,1,1,6,,,,,10,,,,6593,80.48,104400,92,1737,2238,32,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
4,2018,549300WH9FMXOC63ZV77,36084,CA,06001,06001441921,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Female,1,71,2,2,31,1,1,1,2,285000.0,,5.291,,3,,,,,,,,13.0,2,2,2,2,785000.0,1,1,3,5,1,,35.0,,9,10,3.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,3767,80.65,104400,114,375,667,33,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
5,2018,549300WH9FMXOC63ZV77,36084,CA,06001,06001437101,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,2,31,1,1,1,2,305000.0,,,,3,,,,,,,,13.0,2,2,2,2,645000.0,1,1,3,5,1,,31.0,,9,10,3.0,,,,,5.0,,,,,3,4,6.0,,,,,8.0,,,,,3,4,3,5,3,4,65-74,9999,Yes,,2,1,6,,,,,3,5.0,9.0,,6910,80.75,104400,119,1764,1997,38,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
6,2018,549300WH9FMXOC63ZV77,36084,CA,06001,06001451503,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,2,2,32,1,1,1,2,325000.0,,5.071,,3,,,,,,,,13.0,2,2,2,2,635000.0,1,1,3,5,1,,23.0,,9,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,5588,43.93,104400,98,1336,1841,51,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
7,2018,549300WH9FMXOC63ZV77,36084,CA,06001,06001406800,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,71,2,2,31,1,1,1,2,355000.0,,5.385,,3,,,,,,,,13.0,2,2,2,2,725000.0,1,1,3,5,2,,22.0,,9,10,1.0,11.0,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,3484,65.96,104400,120,955,1411,70,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
8,2018,549300WH9FMXOC63ZV77,36084,CA,06001,06001450742,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,2,2,2,31,1,1,2,2,555000.0,,6.5,,3,,,,,,,,,2,2,2,2,1095000.0,1,1,3,5,1,,26.0,,9,9,1.0,,,,,1.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,>74,>74,Yes,Yes,1,1,6,,,,,10,,,,4629,38.43,104400,145,1432,1779,35,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
9,2018,549300WH9FMXOC63ZV77,36084,CA,06001,06001420300,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,4,0,2,2,4,1,1,1,2,365000.0,,,,3,,,,,,,,13.0,2,2,2,2,,1,1,3,5,1,,0.0,,9,9,1.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,4564,62.62,104400,100,949,1210,53,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
