census_tract,_rm_per_1000,rm_no,county_code,county,state_code,census_tract_np,census_tract_period,total_population,62yr_pp_pct,median_age,hispanic_pp_pct,non_hispanic_black_pp_pct
06065043812,16.85565430585351,110,06065, Riverside County,CA,43812,438.12,6526,81.9%,73.8,12.2%,2.2%
06065051400,16.432272390821613,111,06065, Riverside County,CA,51400,514,6755,88.3%,74.6,4.0%,3.6%
06065042741,16.291327264015333,34,06065, Riverside County,CA,42741,427.41,2087,76.3%,70.2,13.7%,3.1%
06065042740,15.069967707212056,28,06065, Riverside County,CA,42740,427.4,1858,75.6%,70.7,4.8%,8.3%
06065042711,14.029995162070634,58,06065, Riverside County,CA,42711,427.11,4134,66.8%,68.9,9.5%,13.1%
06065045606,10.95166163141994,29,06065, Riverside County,CA,45606,456.06,2648,39.4%,57.7,31.4%,1.4%
06065044919,10.77629215725404,54,06065, Riverside County,CA,44919,449.19,5011,74.0%,72.7,5.5%,3.9%
06065044405,10.252904989747096,15,06065, Riverside County,CA,44405,444.05,1463,42.0%,59.8,20.0%,0.6%
06065045212,9.996155324875048,26,06065, Riverside County,CA,45212,452.12,2601,53.6%,64,26.5%,11.1%
06065045216,9.970918155380142,24,06065, Riverside County,CA,45216,452.16,2407,75.2%,68.9,8.3%,1.9%
06065049400,9.7815454841865,30,06065, Riverside County,CA,49400,494,3067,53.8%,65.3,41.5%,0.8%
06065043316,9.297520661157025,36,06065, Riverside County,CA,43316,433.16,3872,51.8%,63.2,19.8%,9.2%
06065042745,9.237021984112323,50,06065, Riverside County,CA,42745,427.45,5413,37.6%,50,38.1%,5.0%
06065043229,9.001956947162427,46,06065, Riverside County,CA,43229,432.29,5110,47.0%,59.2,21.3%,1.2%
06065042729,8.511064383698809,85,06065, Riverside County,CA,42729,427.29,9987,33.4%,46.5,29.2%,9.9%
06065043810,7.875605815831988,39,06065, Riverside County,CA,43810,438.1,4952,36.7%,52.8,36.7%,6.2%
06065044520,7.724719101123595,11,06065, Riverside County,CA,44520,445.2,1424,39.5%,53.8,44.6%,1.1%
06065045115,7.407407407407407,14,06065, Riverside County,CA,45115,451.15,1890,58.3%,66,6.5%,0.0%
06065044404,7.1301247771836005,8,06065, Riverside County,CA,44404,444.04,1122,22.7%,44.2,11.1%,9.4%
06065044921,6.127450980392156,15,06065, Riverside County,CA,44921,449.21,2448,51.6%,63.6,4.8%,0.5%
06065044604,6.022645145748013,25,06065, Riverside County,CA,44604,446.04,4151,31.7%,52,30.8%,2.7%
06065043820,5.749486652977413,28,06065, Riverside County,CA,43820,438.2,4870,25.5%,39.6,34.0%,14.1%
06065044928,5.685218432076601,19,06065, Riverside County,CA,44928,449.28,3342,65.3%,70.2,10.2%,0.0%
06065045114,5.57361820715281,12,06065, Riverside County,CA,45114,451.14,2153,54.9%,63.1,9.8%,1.1%
06065045228,5.524014116924965,36,06065, Riverside County,CA,45228,452.28,6517,29.4%,40.8,38.7%,0.3%
06065044606,5.4864667154352595,15,06065, Riverside County,CA,44606,446.06,2734,36.1%,54,34.1%,1.8%
06065043505,5.4002541296060995,17,06065, Riverside County,CA,43505,435.05,3148,51.1%,63.2,32.1%,9.1%
06065044917,5.364593681700775,27,06065, Riverside County,CA,44917,449.17,5033,66.3%,68,6.6%,1.7%
06065044517,5.338809034907597,13,06065, Riverside County,CA,44517,445.17,2435,37.5%,54.1,15.2%,2.5%
06065043291,5.285761480013214,48,06065, Riverside County,CA,43291,432.91,9081,22.6%,41.1,27.0%,4.3%
06065941200,5.118829981718465,14,06065, Riverside County,CA,941200,9412,2735,44.7%,59.6,15.1%,3.1%
06065045125,5.064893953782843,16,06065, Riverside County,CA,45125,451.25,3159,58.6%,67.4,4.9%,1.2%
06065043279,4.926108374384237,25,06065, Riverside County,CA,43279,432.79,5075,15.1%,33.8,30.8%,0.9%
06065043404,4.834510970621049,13,06065, Riverside County,CA,43404,434.04,2689,44.7%,60.1,42.7%,6.0%
06065043809,4.695996045477014,19,06065, Riverside County,CA,43809,438.09,4046,43.1%,57.6,20.8%,8.4%
06065042714,4.5467462347257745,16,06065, Riverside County,CA,42714,427.14,3519,26.7%,46.4,4.6%,0.0%
06065045123,4.5304777594728165,11,06065, Riverside County,CA,45123,451.23,2428,49.9%,61.8,19.2%,0.0%
06065941300,4.45632798573975,15,06065, Riverside County,CA,941300,9413,3366,36.8%,55.9,20.5%,7.1%
