activity_year_x,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,tax_id,agency_code,respondent_name,respondent_state,respondent_city,respondent_zip_code
2018,549300WH9FMXOC63ZV77,40140,CA,06065,06065042719,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,2,2,32,1,1,1,2,215000.0,,5.064,,3,,,,,,,,13.0,2,2,2,2,355000.0,1,1,3,5,1,,30.0,,9,10,2.0,,,,,5.0,,,,,3,4,5.0,,,,,8.0,,,,,3,4,1,5,3,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,5860,70.14,65800,65,986,1492,30,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,40140,CA,06065,06065044805,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,5,0,2,2,31,1,1,1,2,305000.0,,,,3,,,,,,,,13.0,2,2,2,2,,1,1,3,5,1,,0.0,,9,9,3.0,,,,,5.0,,,,,3,4,6.0,,,,,8.0,,,,,3,4,3,5,3,4,>74,9999,Yes,,1,1,6,,,,,10,,,,1764,28.4,65800,125,612,1190,48,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,40140,CA,06065,06065042300,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,5,0,2,2,31,1,1,1,2,165000.0,,,,3,,,,,,,,13.0,2,2,2,2,,1,1,3,5,1,,0.0,,9,9,3.0,,,,,5.0,,,,,3,4,6.0,,,,,8.0,,,,,3,4,3,5,3,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,7188,76.75,65800,88,1089,1884,46,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,40140,CA,06065,06065044505,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,4,0,2,2,31,1,1,1,2,125000.0,,,,3,,,,,,,,13.0,2,2,2,2,,1,1,3,5,1,,11.0,,9,9,2.0,,,,,5.0,,,,,3,4,5.0,,,,,8.0,,,,,3,4,2,5,3,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,6967,65.38,65800,74,1535,3172,32,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,40140,CA,06065,06065042742,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,2,1,1,1,2,2,185000.0,,4.43,,3,,,,,,,,,2,2,2,2,365000.0,1,1,3,5,1,,49.0,,9,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,6,,,,,10,,,,4624,46.39,65800,147,859,1237,0,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,40140,CA,06065,06065044300,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,2,2,31,1,1,1,2,175000.0,,5.107,,3,,,,,,,,13.0,2,2,2,2,275000.0,1,1,3,5,1,,20.0,,9,10,2.0,,,,,5.0,,,,,3,4,5.0,,,,,8.0,,,,,3,4,2,5,3,4,>74,9999,Yes,,1,1,6,,,,,10,,,,4906,65.86,65800,82,777,1206,33,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,40140,CA,06065,06065043291,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Ethnicity Not Available,Race Not Available,Joint,4,0,2,2,31,1,1,2,2,245000.0,,,,3,,,,,,,,,2,2,2,2,,2,1,1,1,1,,23.0,,9,9,3.0,,,,,2.0,,,,,2,2,6.0,,,,,5.0,,,,,2,2,1,2,2,2,>74,>74,Yes,Yes,1,1,6,,,,,10,,,,8262,41.68,65800,108,1989,2779,23,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,40140,CA,06065,06065044606,NC,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,2,2,2,4,1,1,2,2,545000.0,,6.5,,3,,,,,,,,,2,2,2,2,1505000.0,1,1,3,5,1,,69.0,,9,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,2,2,2,65-74,>74,Yes,Yes,1,1,6,,,,,10,,,,2312,43.34,65800,65,611,1814,48,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,40140,CA,06065,06065941200,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,6,2,2,31,1,1,1,2,305000.0,,4.895,,3,,,,,,,,13.0,2,2,2,2,495000.0,1,1,3,5,1,,22.0,,9,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,2096,26.15,65800,112,909,2407,0,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,5Z1UQ1CWY0DQ3KJWDQ07,40140,CA,06065,06065044919,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,2,2,5,1,1,2,2,135000.0,,4.99,,2,,,,,,,,,2,2,2,2,215000.0,2,1,1,1,1,,,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7.0,,,,,3,3,4,4,3,3,8888,8888,,,3,3,6,,,,,10,,,,4199,8.91,65800,99,2178,4303,31,59-3531592,9,"TIAA, FSB",FL,Jacksonville,32202
