activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2018,549300TINI6CL78UD591,31084,CA,06037,06037600202,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,2,2,2,31,1,1,1,2,105000.0,,4.813,,3,,,,,,,,,2,2,2,2,385000,1,1,3,5,1,,31.0,,9,9,2.0,,,,,5.0,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,,2,1,6,,,,,10,,,,6657,98.66,69300,45,491,1626,63
2018,549300TINI6CL78UD591,31084,CA,06037,06037540800,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,2,2,2,31,1,1,1,2,105000.0,,5.34,,3,,,,,,,,,2,2,2,2,395000,1,1,3,5,1,,13.0,,9,9,2.0,,,,,5.0,,,,,2,4,3,,,,,8,,,,,1,4,2,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,5694,99.65,69300,86,1083,1475,66
2018,549300S5YL3OH0IVCS62,31084,CA,06037,06037901011,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Black or African American,Female,1,2,2,2,4,1,1,1,2,105000.0,,4.581,,3,,,,,,,,12,2,2,2,2,265000,1,1,3,5,1,,38.0,,9,10,3.0,,,,,5.0,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,5024,47.15,69300,96,1072,1510,30
2018,549300S5YL3OH0IVCS62,31084,CA,06037,06037216900,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,5,2,1,31,1,1,2,2,1105000.0,,6.99,,3,,,,,,,,,2,2,2,2,2005000,1,1,3,5,1,,22.0,,9,10,2.0,,,,,5.0,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,>74,9999,Yes,,2,1,6,,,,,10,,,,5178,64.74,69300,131,1009,1535,76
2018,549300TINI6CL78UD591,31084,CA,06037,06037237900,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,2,2,2,31,1,1,1,2,115000.0,,4.631,,3,,,,,,,,,2,2,2,2,445000,1,1,3,5,1,,15.0,,9,9,2.0,,,,,5.0,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,3988,99.6,69300,72,760,1296,76
2018,549300RDSL2X3NXE5U60,31084,CA,06037,06037121010,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,2,2,2,32,1,1,2,2,115000.0,18.4967,,,2,,,,,,,,,1,2,2,2,605000,1,1,3,5,1,,10.0,,9,10,2.0,,,,,5.0,,,,,1,4,3,,,,,8,,,,,1,4,2,5,1,4,>74,8888,Yes,,1,1,6,,,,,10,,,,4674,74.04999999999998,69300,86,954,1155,57
2018,549300U4FBW37LFHW771,31084,CA,06037,06037900605,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,71,2,2,31,1,1,2,2,115000.0,42.436,4.658,,3,,,,,,,,,2,2,2,2,265000,1,1,3,5,1,,0.0,,1,10,2.0,,,,,5.0,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,7932,59.43,69300,70,1512,2326,29
2018,5493001FXF3J5C0QWQ87,31084,CA,06037,06037239201,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,3,0,2,2,2,1,1,1,2,115000.0,,,,3,,,,,,,,12,2,2,2,2,305000,1,1,3,5,2,,8.0,,9,10,2.0,,,,,5.0,,,,,2,4,3,,,,,8,,,,,1,4,2,5,1,4,65-74,9999,Yes,,2,1,6,,,,,1,,,,3723,99.76,69300,45,188,841,76
2018,549300TINI6CL78UD591,31084,CA,06037,06037541500,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,2,2,2,31,1,1,1,2,125000.0,,4.636,,3,,,,,,,,,2,2,2,2,305000,1,1,3,5,1,,16.0,,9,9,2.0,,,,,5.0,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,5545,99.86000000000001,69300,63,487,1127,58
2018,549300TINI6CL78UD591,31084,CA,06037,06037532605,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,2,2,2,31,1,1,1,2,125000.0,,4.623,,3,,,,,,,,,2,2,2,2,265000,1,1,3,5,1,,27.0,,9,9,2.0,,,,,5.0,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,4012,99.55,69300,55,181,374,38
2018,549300TINI6CL78UD591,31084,CA,06037,06037543100,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,2,2,2,31,1,1,1,2,125000.0,,4.935,,3,,,,,,,,,2,2,2,2,515000,1,1,3,5,1,,67.0,,9,9,2.0,,,,,2.0,,,,,2,2,3,,,,,3,,,,,2,2,1,2,2,2,55-64,55-64,Yes,Yes,1,1,6,,,,,10,,,,6827,99.4,69300,100,1282,1852,60
2018,549300TINI6CL78UD591,31084,CA,06037,06037543100,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,2,2,2,31,1,1,1,2,125000.0,,5.277,,3,,,,,,,,,2,2,2,2,375000,1,1,3,5,1,,21.0,,9,9,2.0,,,,,5.0,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,,2,1,6,,,,,10,,,,6827,99.4,69300,100,1282,1852,60
2018,549300EHC6INE5XY6I44,31084,CA,06037,06037910001,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,71,2,2,31,1,1,1,2,125000.0,,5.321,,3,,,,,,,,12,2,2,2,1,245000,1,1,3,5,1,,25.0,,9,10,2.0,,,,,5.0,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,5941,80.68,69300,84,977,1543,31
2018,549300MHH03ICJYEPE85,31084,CA,06037,06037600902,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,5,0,2,1,31,1,1,2,2,125000.0,,,,3,,,,,,,,,2,2,2,2,,1,1,3,5,1,,46.0,,9,9,2.0,,,,,5.0,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,Yes,,2,1,6,,,,,10,,,,6480,95.02,69300,67,497,1009,47
2018,549300NN0PRX3I4QGG46,31084,CA,06037,06037600902,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,5,0,2,1,31,1,1,2,2,125000.0,,,,3,,,,,,,,,2,2,2,2,,1,1,3,5,1,,46.0,,9,9,2.0,,,,,5.0,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,Yes,,1,1,6,,,,,10,,,,6480,95.02,69300,67,497,1009,47
2018,549300TINI6CL78UD591,31084,CA,06037,06037600601,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,2,2,2,31,1,1,1,2,125000.0,,4.774,,3,,,,,,,,,2,2,2,2,725000,1,1,3,5,3,,7.0,,9,9,2.0,,,,,5.0,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,>74,9999,Yes,,2,1,6,,,,,10,,,,2682,97.58,69300,122,547,918,61
2018,549300TINI6CL78UD591,31084,CA,06037,06037910208,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,2,2,2,31,1,1,1,2,135000.0,,4.785,,3,,,,,,,,,2,2,2,2,275000,1,1,3,5,1,,6.0,,9,9,2.0,,,,,5.0,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,6556,73.04999999999998,69300,103,1265,1942,30
2018,549300TINI6CL78UD591,31084,CA,06037,06037104103,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,2,2,2,31,1,1,1,2,135000.0,,4.951,,3,,,,,,,,,2,2,2,2,485000,1,1,3,5,1,,28.0,,9,9,2.0,,,,,2.0,,,,,2,2,3,,,,,3,,,,,2,2,1,2,2,2,65-74,>74,Yes,Yes,1,1,6,,,,,10,,,,4019,94.63,69300,112,637,855,48
2018,549300TINI6CL78UD591,31084,CA,06037,06037238400,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,2,2,2,31,1,1,1,2,135000.0,,4.79,,3,,,,,,,,,2,2,2,2,485000,1,1,3,5,1,,22.0,,9,9,2.0,,,,,5.0,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,5237,98.76,69300,100,1144,1662,71
2018,549300TINI6CL78UD591,31084,CA,06037,06037236000,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,2,2,2,31,1,1,1,2,135000.0,,5.43,,3,,,,,,,,,2,2,2,2,1015000,1,1,3,5,1,,28.0,,9,9,2.0,,,,,5.0,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,4390,85.15,69300,128,1718,1626,66
