activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2019,549300SK2GVCQXPD4S58,31084,CA,06037,06037553801,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,5,0,2,2,32,1,1,1,2,105000.0,,,,3,,,,,,,,12,2,2,2,2,,1,1,3,5,1,,10.0,,9,9,1,11.0,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,55-64,9999,Yes,,1,1,6,,,,,10,,,,4268,96.88,73100,71,190,539,41
2019,549300S5YL3OH0IVCS62,31084,CA,06037,06037910711,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,0,2,2,31,1,1,1,2,105000.0,,4.206,,3,,,,,,,,12,2,2,2,2,305000,1,1,3,5,1,,25.0,,9,9,1,,,,,1.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,1,2,2,65-74,>74,Yes,Yes,2,2,6,,,,,10,,,,8997,86.81999999999998,73100,58,1413,2094,26
2019,549300S5YL3OH0IVCS62,31084,CA,06037,06037404901,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,0,2,2,2,1,1,1,2,105000.0,,5.54,,3,,,,,,,,12,2,2,2,2,425000,1,1,3,5,1,,22.0,,9,9,1,,,,,1.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,2,2,2,>74,65-74,Yes,Yes,2,1,6,,,,,10,,,,5813,98.0,73100,123,899,1270,52
2019,549300S5YL3OH0IVCS62,31084,CA,06037,06037551300,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,0,2,2,1,1,1,2,2,105000.0,,4.56,,3,,,,,,,,,2,2,2,2,215000,1,1,3,5,1,,34.0,,9,9,1,,,,,1.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,1,2,2,65-74,>74,Yes,Yes,2,1,6,,,,,10,,,,5147,84.23999999999998,73100,88,490,876,50
2019,549300S5YL3OH0IVCS62,31084,CA,06037,06037401311,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Female,1,2,2,2,31,1,1,1,2,105000.0,,5.154,,3,,,,,,,,1,2,2,2,2,375000,1,1,3,5,1,,28.0,,9,10,1,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,2,5,2,4,65-74,9999,Yes,,2,1,6,,,,,10,,,,6389,57.49,73100,136,1439,2214,47
2019,549300TINI6CL78UD591,31084,CA,06037,06037900507,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,6,2,2,2,31,1,1,1,2,105000.0,,4.497,,3,,,,,,,,,2,2,2,2,225000,1,1,3,5,1,,11.0,,9,9,1,14.0,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,>74,9999,Yes,,3,3,6,,,,,10,,,,7890,72.70999999999998,73100,64,1191,2206,29
2019,549300CK7U1WMTIG6687,31084,CA,06037,06037532900,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,4,0,2,2,4,1,1,1,2,115000.0,,,,3,,,,,,,,13,2,2,2,2,,1,1,3,5,1,,20.0,,9,9,1,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,>74,9999,Yes,,2,1,6,,,,,10,,,,6974,100.0,73100,47,414,1453,63
2019,549300CR5XDK0TP7I727,31084,CA,06037,06037540700,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,71,2,2,31,1,1,1,2,115000.0,,5.907,,3,,,,,,,,,2,2,2,2,365000,1,1,3,5,1,,23.0,,3,10,1,,,,,5.0,,,,,1,4,5.0,,,,,8.0,,,,,1,4,1,5,1,4,65-74,9999,Yes,,2,1,6,,,,,10,,,,3251,98.52,73100,66,290,725,67
2019,549300S5YL3OH0IVCS62,31084,CA,06037,06037402803,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,0,2,2,4,1,1,1,2,115000.0,,4.908,,3,,,,,,,,12,2,2,2,2,375000,1,1,3,5,1,,13.0,,9,10,1,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,>74,9999,Yes,,2,2,6,,,,,10,,,,3403,96.89,73100,62,246,716,56
2019,549300TINI6CL78UD591,31084,CA,06037,06037570403,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,2,2,2,31,1,1,1,2,115000.0,,4.891,,3,,,,,,,,,2,2,2,2,455000,1,1,3,5,1,,33.0,,9,9,1,,,,,1.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,>74,65-74,Yes,Yes,1,1,6,,,,,10,,,,5463,98.61000000000001,73100,65,435,846,54
