census_tract,_rm_per_1000,rm_no,county_code,county,state_code,census_tract_np,census_tract_period,total_population,62yr_pp_pct,median_age,hispanic_pp_pct,non_hispanic_black_pp_pct
06067007101,12.82051282051282,4,06067, Sacramento County,CA,7101,71.01,312,11.2%,18.6,0.0%,0.0%
06067008600,5.000714387769682,35,06067, Sacramento County,CA,8600,86,6999,36.0%,50.9,12.5%,5.1%
06067005403,4.765687053216839,12,06067, Sacramento County,CA,5403,54.03,2518,39.5%,53,26.7%,2.8%
06067009638,4.41717791411043,54,06067, Sacramento County,CA,9638,96.38,12225,21.6%,39.5,17.0%,11.0%
06067008211,4.287245444801715,12,06067, Sacramento County,CA,8211,82.11,2799,30.3%,48.1,8.4%,0.5%
06067008125,4.114420062695925,21,06067, Sacramento County,CA,8125,81.25,5104,26.4%,48,16.3%,4.7%
06067008140,3.5959463877084015,11,06067, Sacramento County,CA,8140,81.4,3059,23.6%,42,13.9%,3.7%
06067008206,3.5335689045936394,22,06067, Sacramento County,CA,8206,82.06,6226,14.7%,38.7,15.1%,0.2%
06067002400,3.352891869237217,16,06067, Sacramento County,CA,2400,24,4772,27.4%,48.6,11.1%,3.6%
06067008702,3.317360855141909,9,06067, Sacramento County,CA,8702,87.02,2713,43.5%,59.7,2.1%,0.6%
06067007102,3.2325098129762178,28,06067, Sacramento County,CA,7102,71.02,8662,32.6%,44.5,11.8%,16.4%
06067008010,3.177292946409659,15,06067, Sacramento County,CA,8010,80.1,4721,26.7%,49.1,15.7%,0.3%
06067008008,3.104304635761589,15,06067, Sacramento County,CA,8008,80.08,4832,28.2%,45.5,9.8%,3.5%
06067000100,3.099974166881943,12,06067, Sacramento County,CA,100,1,3871,23.5%,43.5,10.8%,0.3%
06067002500,3.0998140111593306,5,06067, Sacramento County,CA,2500,25,1613,40.3%,57.3,14.1%,2.5%
06067002300,2.9779630732578917,10,06067, Sacramento County,CA,2300,23,3358,24.1%,44.8,19.6%,1.3%
06067008203,2.9030817329164806,13,06067, Sacramento County,CA,8203,82.03,4478,32.2%,49.9,9.7%,4.3%
06067006004,2.871205906480722,7,06067, Sacramento County,CA,6004,60.04,2438,24.0%,42,12.1%,6.2%
06067008005,2.8621752531924263,13,06067, Sacramento County,CA,8005,80.05,4542,27.7%,48,12.3%,0.0%
06067008128,2.8078620136381867,7,06067, Sacramento County,CA,8128,81.28,2493,24.1%,44.6,25.8%,0.4%
06067008403,2.743484224965706,18,06067, Sacramento County,CA,8403,84.03,6561,13.5%,34.4,14.0%,0.5%
06067008007,2.735562310030395,9,06067, Sacramento County,CA,8007,80.07,3290,30.6%,41,9.0%,4.2%
06067009614,2.7104136947218262,19,06067, Sacramento County,CA,9614,96.14,7010,13.2%,37.1,27.0%,16.3%
06067007602,2.5745548165629693,12,06067, Sacramento County,CA,7602,76.02,4661,23.9%,40.7,10.7%,8.0%
06067005404,2.573529411764706,14,06067, Sacramento County,CA,5404,54.04,5440,25.4%,48,11.6%,2.2%
06067008913,2.463661000246366,10,06067, Sacramento County,CA,8913,89.13,4059,20.8%,41.3,20.1%,1.9%
06067005801,2.450980392156863,13,06067, Sacramento County,CA,5801,58.01,5304,22.8%,41.9,19.5%,3.8%
06067008703,2.407704654895666,12,06067, Sacramento County,CA,8703,87.03,4984,29.2%,47.7,5.9%,2.8%
06067004001,2.4005486968449934,14,06067, Sacramento County,CA,4001,40.01,5832,27.9%,41.5,28.1%,9.3%
06067008207,2.3934897079942554,10,06067, Sacramento County,CA,8207,82.07,4178,19.0%,44.6,5.2%,1.6%
06067008124,2.2888056595921764,11,06067, Sacramento County,CA,8124,81.24,4806,24.6%,41.6,11.0%,1.8%
06067008132,2.255639097744361,9,06067, Sacramento County,CA,8132,81.32,3990,30.3%,46.4,10.9%,8.8%
06067009332,2.2404779686333085,3,06067, Sacramento County,CA,9332,93.32,1339,23.6%,44.5,16.2%,0.0%
06067008111,2.2148394241417497,14,06067, Sacramento County,CA,8111,81.11,6321,23.9%,43.6,17.0%,0.7%
06067009406,2.1739130434782608,5,06067, Sacramento County,CA,9406,94.06,2300,25.7%,48.2,21.6%,2.3%
06067008130,2.1447721179624666,8,06067, Sacramento County,CA,8130,81.3,3730,18.6%,37.4,23.5%,3.6%
06067009309,2.136752136752137,5,06067, Sacramento County,CA,9309,93.09,2340,32.3%,49.7,17.9%,1.0%
06067009502,2.1327311504202737,17,06067, Sacramento County,CA,9502,95.02,7971,13.6%,35.1,36.1%,0.7%
06067009622,2.1273933174821673,17,06067, Sacramento County,CA,9622,96.22,7991,18.9%,41.9,11.1%,10.3%
06067008402,2.0964360587002098,12,06067, Sacramento County,CA,8402,84.02,5724,18.1%,41.7,13.7%,0.3%
06067007424,2.0768431983385254,8,06067, Sacramento County,CA,7424,74.24,3852,11.7%,30.8,24.7%,13.0%
06067008119,2.0550110654441984,13,06067, Sacramento County,CA,8119,81.19,6326,14.7%,34.9,18.9%,6.2%
06067005904,2.0475020475020473,10,06067, Sacramento County,CA,5904,59.04,4884,19.3%,39,9.5%,4.3%
06067008135,2.0380434782608696,9,06067, Sacramento County,CA,8135,81.35,4416,31.6%,41.6,17.8%,1.0%
06067008210,2.0359687818120125,12,06067, Sacramento County,CA,8210,82.1,5894,34.8%,52,10.7%,0.1%
