activity_year_x,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,tax_id,agency_code,respondent_name,respondent_state,respondent_city,respondent_zip_code
2018,549300WH9FMXOC63ZV77,41740,CA,06073,06073015301,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,5,0,2,2,31,1,1,2,2,285000.0,,,,3,,,,,,,,,2,2,2,2,,1,1,3,5,1,,36.0,,9,9,3.0,,,,,5.0,,,,,3,4,6.0,,,,,8.0,,,,,3,4,2,5,3,4,>74,9999,Yes,,1,1,6,,,,,10,,,,3126,43.12,81800,65,413,705,57,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,41740,CA,06073,06073019808,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,4,0,2,2,31,1,1,1,2,355000.0,,,,3,,,,,,,,13.0,2,2,2,2,,1,1,3,5,1,,48.0,,9,9,3.0,,,,,5.0,,,,,3,4,6.0,,,,,8.0,,,,,3,4,2,5,3,4,>74,9999,Yes,,1,1,6,,,,,10,,,,4853,29.43,81800,113,1705,1923,27,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,41740,CA,06073,06073000300,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,2,0,2,2,31,1,1,1,2,325000.0,,4.598,,3,,,,,,,,13.0,2,2,2,2,575000.0,1,1,3,5,1,,25.0,,9,10,3.0,,,,,5.0,,,,,3,4,6.0,,,,,8.0,,,,,3,4,2,5,3,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,4875,26.11,81800,109,775,914,41,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,41740,CA,06073,06073008355,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,4,0,2,2,31,1,1,1,2,345000.0,,,,3,,,,,,,,13.0,2,2,2,2,,1,1,3,5,1,,0.0,,9,9,3.0,,,,,5.0,,,,,3,4,6.0,,,,,8.0,,,,,3,4,3,5,3,4,>74,9999,Yes,,1,1,6,,,,,10,,,,3857,80.22,81800,134,692,989,36,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,41740,CA,06073,06073010001,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,6,2,2,31,1,1,1,2,315000.0,,4.481,,3,,,,,,,,13.0,2,2,2,2,445000.0,1,1,3,5,1,,9.0,,9,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,3724,87.0,81800,94,880,991,39,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,41740,CA,06073,06073004000,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,4,0,2,2,31,1,1,1,2,55000.0,,,,3,,,,,,,,13.0,2,2,2,2,,1,1,3,5,1,,12.0,,9,9,2.0,,,,,5.0,,,,,2,4,3.0,,,,,8.0,,,,,2,4,2,5,2,4,55-64,9999,Yes,,2,1,6,,,,,10,,,,5268,94.99,81800,44,230,1241,52,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,41740,CA,06073,06073020708,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Sex Not Available,2,0,2,2,31,1,1,1,2,355000.0,,4.313,,3,,,,,,,,13.0,2,2,2,2,655000.0,1,1,3,5,1,,22.0,,9,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,3,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,3644,38.83,81800,123,741,1030,37,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,41740,CA,06073,06073019302,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,2,2,31,1,1,1,2,155000.0,,5.041,,3,,,,,,,,13.0,2,2,2,2,375000.0,1,1,3,5,1,,10.0,,9,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,7483,43.16,81800,93,1675,2562,31,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,41740,CA,06073,06073013312,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,4,0,2,2,31,1,1,1,2,195000.0,,,,3,,,,,,,,13.0,2,2,2,2,,1,1,3,5,1,,0.0,,9,9,3.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,3,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,2901,80.48999999999998,81800,85,566,804,42,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,41740,CA,06073,06073014001,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,4,0,2,2,31,1,1,2,2,325000.0,,,,3,,,,,,,,,2,2,2,2,,1,1,3,5,1,,0.0,,9,9,3.0,,,,,3.0,,,,,2,2,6.0,,,,,6.0,,,,,2,2,3,3,2,2,65-74,65-74,Yes,Yes,1,1,6,,,,,10,,,,4669,60.7,81800,76,897,1534,56,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
