census_tract,_rm_per_1000,rm_no,county_code,county,state_code,census_tract_np,census_tract_period,total_population,62yr_pp_pct,median_age,hispanic_pp_pct,non_hispanic_black_pp_pct
06001450602,2.4354603019970775,25,06001, Alameda County,CA,450602,4506.02,10265,18.9%,43.4,8.2%,2.7%
06001433300,3.0923850019327404,24,06001, Alameda County,CA,433300,4333,7761,20.9%,42.8,23.5%,0.3%
06001407700,5.094614264919942,21,06001, Alameda County,CA,407700,4077,4122,19.5%,43.9,16.2%,42.9%
06001408100,3.3227848101265822,21,06001, Alameda County,CA,408100,4081,6320,28.7%,45,10.1%,23.8%
06001444100,2.6469031233456857,20,06001, Alameda County,CA,444100,4441,7556,24.2%,46.9,28.8%,1.1%
06001409900,5.491488193300384,20,06001, Alameda County,CA,409900,4099,3642,25.5%,48.9,8.1%,47.1%
06001430700,4.316546762589928,18,06001, Alameda County,CA,430700,4307,4170,16.9%,41.2,15.8%,4.9%
06001428301,2.336127525079016,17,06001, Alameda County,CA,428301,4283.01,7277,19.0%,39.9,10.6%,4.6%
06001450606,2.718260313399424,17,06001, Alameda County,CA,450606,4506.06,6254,17.8%,45.3,6.2%,0.6%
06001431200,3.0498744169357734,17,06001, Alameda County,CA,431200,4312,5574,24.5%,42.2,23.3%,10.6%
06001404300,4.647110078419983,16,06001, Alameda County,CA,404300,4043,3443,22.7%,44.9,12.0%,1.7%
06001428200,2.4220405691795337,16,06001, Alameda County,CA,428200,4282,6606,21.1%,44.4,12.8%,6.3%
06001408700,2.0230117587558474,16,06001, Alameda County,CA,408700,4087,7909,14.2%,32.8,45.1%,41.9%
06001451602,2.349831105889264,16,06001, Alameda County,CA,451602,4516.02,6809,28.4%,44.7,16.4%,1.9%
06001421500,4.331348132106118,16,06001, Alameda County,CA,421500,4215,3694,33.4%,50.3,4.7%,2.6%
06001400700,3.1201248049921997,16,06001, Alameda County,CA,400700,4007,5128,12.4%,35.1,19.4%,28.2%
06001405100,3.500583430571762,15,06001, Alameda County,CA,405100,4051,4285,26.2%,44.9,3.4%,13.6%
06001404400,2.6652452025586353,15,06001, Alameda County,CA,404400,4044,5628,25.0%,44.9,5.3%,2.3%
06001442900,1.932740626207963,15,06001, Alameda County,CA,442900,4429,7761,17.2%,40.5,17.0%,3.8%
06001436000,2.765158996642307,14,06001, Alameda County,CA,436000,4360,5063,19.3%,38.8,42.4%,0.8%
06001410400,3.1270940361849453,14,06001, Alameda County,CA,410400,4104,4477,15.5%,35.9,47.7%,33.6%
06001428302,1.8857758620689655,14,06001, Alameda County,CA,428302,4283.02,7424,26.1%,45.7,6.5%,2.6%
06001438100,1.6853256289876009,14,06001, Alameda County,CA,438100,4381,8307,14.6%,35.4,40.8%,7.2%
06001404600,3.027027027027027,14,06001, Alameda County,CA,404600,4046,4625,30.0%,50,4.8%,3.8%
06001407600,2.212739054844318,14,06001, Alameda County,CA,407600,4076,6327,10.5%,37.4,32.0%,39.1%
06001442400,2.052184110231604,14,06001, Alameda County,CA,442400,4424,6822,14.7%,36.3,24.7%,4.1%
06001408300,2.7739251040221915,14,06001, Alameda County,CA,408300,4083,5047,15.0%,37.9,21.9%,37.2%
06001404502,2.2067560685791885,13,06001, Alameda County,CA,404502,4045.02,5891,21.3%,45.7,7.6%,1.1%
06001410200,3.5812672176308538,13,06001, Alameda County,CA,410200,4102,3630,13.1%,31.4,35.2%,55.1%
06001409800,3.697383390216155,13,06001, Alameda County,CA,409800,4098,3516,19.5%,35.3,12.5%,55.3%
06001444200,1.827896512935883,13,06001, Alameda County,CA,444200,4442,7112,17.6%,37.7,33.3%,5.4%
06001433200,1.6268301839569517,13,06001, Alameda County,CA,433200,4332,7991,14.5%,32,28.7%,12.1%
06001441401,1.6085127443702054,13,06001, Alameda County,CA,441401,4414.01,8082,15.9%,37.7,10.0%,1.2%
06001421900,3.116758571086071,13,06001, Alameda County,CA,421900,4219,4171,20.2%,41.1,10.7%,5.3%
06001423100,2.9458418309539995,13,06001, Alameda County,CA,423100,4231,4413,17.9%,38.5,12.9%,16.6%
06001421200,3.617139677239844,13,06001, Alameda County,CA,421200,4212,3594,36.4%,53,4.1%,1.3%
06001442200,1.7395958784959187,13,06001, Alameda County,CA,442200,4422,7473,21.6%,45.1,6.0%,1.4%
06001421600,3.5941387890517005,13,06001, Alameda County,CA,421600,4216,3617,31.1%,47.8,4.0%,3.1%
06001435300,2.5321797847647183,12,06001, Alameda County,CA,435300,4353,4739,16.1%,38.4,27.1%,23.1%
06001406900,3.3259423503325944,12,06001, Alameda County,CA,406900,4069,3608,22.1%,43.1,10.2%,18.6%
06001451601,2.237970906378217,12,06001, Alameda County,CA,451601,4516.01,5362,20.3%,47.1,10.7%,0.2%
06001433800,1.4671720259200391,12,06001, Alameda County,CA,433800,4338,8179,16.4%,38,44.8%,7.8%
