census_tract,rm_no,tract_population,minority_pct,rm_no_per1000,geo_id,tract_name,population,hispanic_pp,black_pp,hispanic_pp_pct,black_pp_pct
04013980600,2,176,44.32,11.363636363636363,,,,,,,
04013817600,13,1240,54.11,10.483870967741936,1400000US04013817600,"Census Tract 8176, Maricopa County, Arizona",4445.0,837.0,102.0,18.830146231721034,2.294713160854893
04013040516,32,3998,9.33,8.004002001000499,1400000US04013040516,"Census Tract 405.16, Maricopa County, Arizona",8088.0,1301.0,50.0,16.08555885262117,0.6181998021760633
04013040523,21,2777,7.71,7.562117392870004,1400000US04013040523,"Census Tract 405.23, Maricopa County, Arizona",3122.0,55.0,113.0,1.7616912235746316,3.6194746957078796
04013040526,15,2043,7.34,7.342143906020558,1400000US04013040526,"Census Tract 405.26, Maricopa County, Arizona",2228.0,44.0,9.0,1.9748653500897666,0.4039497307001795
04013040514,20,2867,3.98,6.975933031042902,1400000US04013040514,"Census Tract 405.14, Maricopa County, Arizona",2947.0,65.0,15.0,2.2056328469630135,0.508992195453003
04013817400,18,2818,3.48,6.3875088715401,1400000US04013817400,"Census Tract 8174, Maricopa County, Arizona",2802.0,19.0,44.0,0.6780870806566739,1.5703069236259815
04013040524,9,1466,6.48,6.139154160982264,1400000US04013040524,"Census Tract 405.24, Maricopa County, Arizona",1660.0,96.0,9.0,5.783132530120482,0.5421686746987951
04025001402,16,2735,10.05,5.850091407678245,1400000US04025001402,"Census Tract 14.02, Yavapai County, Arizona",3736.0,319.0,0.0,8.538543897216275,0.0
04013071702,16,3031,8.019999999999998,5.278785879247773,1400000US04013071702,"Census Tract 717.02, Maricopa County, Arizona",3399.0,218.0,44.0,6.413651073845249,1.2944983818770228
04013817500,14,2708,2.1,5.1698670605613,1400000US04013817500,"Census Tract 8175, Maricopa County, Arizona",2779.0,75.0,38.0,2.6988125224901043,1.3673983447283196
04013817300,27,5300,4.13,5.09433962264151,1400000US04013817300,"Census Tract 8173, Maricopa County, Arizona",5269.0,178.0,19.0,3.378250142342001,0.36059973429493264
04013071802,18,3540,8.08,5.084745762711864,1400000US04013071802,"Census Tract 718.02, Maricopa County, Arizona",3195.0,153.0,79.0,4.788732394366197,2.4726134585289516
04025000607,31,6152,17.7,5.039011703511053,,,,,,,
04013061018,23,4639,6.51,4.9579650786807505,1400000US04013061018,"Census Tract 610.18, Maricopa County, Arizona",5020.0,140.0,58.0,2.788844621513944,1.1553784860557768
04013040506,26,5334,0.64,4.874390701162355,1400000US04013040506,"Census Tract 405.06, Maricopa County, Arizona",5469.0,50.0,31.0,0.9142439202779301,0.5668312305723168
04013813700,12,2502,6.75,4.796163069544364,1400000US04013813700,"Census Tract 8137, Maricopa County, Arizona",2448.0,27.0,8.0,1.1029411764705883,0.32679738562091504
04013071504,16,3549,2.76,4.508312200619892,1400000US04013071504,"Census Tract 715.04, Maricopa County, Arizona",3497.0,0.0,38.0,0.0,1.0866456963111237
04013071506,18,4075,9.87,4.41717791411043,1400000US04013071506,"Census Tract 715.06, Maricopa County, Arizona",3956.0,124.0,77.0,3.1344792719919106,1.9464105156723963
04013816300,16,3641,12.25,4.394397143641856,,,,,,,
04015952800,26,5970,15.81,4.355108877721943,,,,,,,
04013813800,11,2543,2.44,4.325599685410932,1400000US04013813800,"Census Tract 8138, Maricopa County, Arizona",2807.0,28.0,33.0,0.997506234413965,1.1756323477021733
04013422610,12,2784,6.03,4.310344827586206,1400000US04013422610,"Census Tract 4226.10, Maricopa County, Arizona",3040.0,153.0,2.0,5.032894736842105,0.06578947368421052
04013071503,20,4822,4.25,4.14765657403567,1400000US04013071503,"Census Tract 715.03, Maricopa County, Arizona",4050.0,194.0,82.0,4.790123456790123,2.0246913580246915
04025001200,26,6289,6.71,4.134202575926221,,,,,,,
