census_tract,rm_no,tract_population,minority_pct,rm_no_per1000,geo_id,tract_name,population,hispanic_pp,black_pp,hispanic_pp_pct,black_pp_pct
06037980028,1,0,0.0,inf,1400000US06037980028,"Census Tract 9800.28, Los Angeles County, California",0.0,0.0,0.0,,
06037980010,2,139,74.81999999999998,14.388489208633095,1400000US06037980010,"Census Tract 9800.10, Los Angeles County, California",119.0,74.0,1.0,62.18487394957983,0.8403361344537815
06037600801,47,3356,97.16,14.004767580452919,1400000US06037600801,"Census Tract 6008.01, Los Angeles County, California",3204.0,346.0,2662.0,10.79900124843945,83.083645443196
06037234200,34,2459,90.2,13.826758845058967,1400000US06037234200,"Census Tract 2342, Los Angeles County, California",2520.0,296.0,1592.0,11.746031746031745,63.17460317460317
06037237900,46,3988,97.69,11.534603811434303,1400000US06037237900,"Census Tract 2379, Los Angeles County, California",4651.0,1325.0,2992.0,28.488497097398408,64.33025155880456
06037235100,51,4728,89.57,10.786802030456853,1400000US06037235100,"Census Tract 2351, Los Angeles County, California",4229.0,719.0,2816.0,17.001655237644833,66.5878458264365
06037703100,60,5619,90.91,10.678056593699948,1400000US06037703100,"Census Tract 7031, Los Angeles County, California",6026.0,342.0,4592.0,5.675406571523399,76.20311981413873
06037219500,19,1783,90.3,10.65619742007852,1400000US06037219500,"Census Tract 2195, Los Angeles County, California",2098.0,376.0,1053.0,17.921830314585318,50.1906577693041
06037600501,28,2767,97.04,10.119262739428983,1400000US06037600501,"Census Tract 6005.01, Los Angeles County, California",2767.0,602.0,1979.0,21.756414889772316,71.52150343332129
06037600601,27,2682,97.58,10.06711409395973,1400000US06037600601,"Census Tract 6006.01, Los Angeles County, California",2456.0,347.0,2005.0,14.128664495114007,81.63680781758957
06037602700,36,3768,95.21,9.554140127388534,1400000US06037602700,"Census Tract 6027, Los Angeles County, California",3532.0,642.0,2493.0,18.176670441676105,70.5832389580974
06037236000,41,4390,85.15,9.339407744874714,,,,,,,
06037703200,56,6124,90.81,9.14435009797518,1400000US06037703200,"Census Tract 7032, Los Angeles County, California",5595.0,432.0,4337.0,7.72117962466488,77.51563896336015
06037231500,42,4772,95.53,8.801341156747695,1400000US06037231500,"Census Tract 2315, Los Angeles County, California",5257.0,3198.0,1682.0,60.83317481453301,31.995434658550504
06037602802,37,4365,98.56,8.47651775486827,1400000US06037602802,"Census Tract 6028.02, Los Angeles County, California",4946.0,1848.0,2984.0,37.36352608168217,60.33158107561666
06037238000,50,5969,98.24,8.376612497905848,1400000US06037238000,"Census Tract 2380, Los Angeles County, California",6232.0,1431.0,3933.0,22.962130937098845,63.109756097560975
06037600302,29,3472,97.94,8.352534562211982,1400000US06037600302,"Census Tract 6003.02, Los Angeles County, California",3074.0,1194.0,1859.0,38.841899804814574,60.47495120364346
06037237402,30,3640,99.12,8.241758241758243,1400000US06037237402,"Census Tract 2374.02, Los Angeles County, California",3605.0,2364.0,1025.0,65.57558945908461,28.43273231622746
06037600703,19,2326,97.04,8.16852966466036,1400000US06037600703,"Census Tract 6007.03, Los Angeles County, California",1709.0,141.0,1368.0,8.250438853130486,80.04681100058514
06037602600,69,8594,96.53,8.02885734233186,,,,,,,
06037600802,21,2643,95.69,7.945516458569807,1400000US06037600802,"Census Tract 6008.02, Los Angeles County, California",2586.0,300.0,2110.0,11.600928074245939,81.59319412219645
06037234501,24,3062,96.24,7.838014369693012,1400000US06037234501,"Census Tract 2345.01, Los Angeles County, California",2974.0,1020.0,1610.0,34.29724277067922,54.13584398117014
06037234600,40,5106,94.44,7.833920877399139,1400000US06037234600,"Census Tract 2346, Los Angeles County, California",5011.0,1805.0,2441.0,36.020754340451006,48.712831770105765
06037238400,41,5237,97.93,7.8289096811151415,1400000US06037238400,"Census Tract 2384, Los Angeles County, California",4618.0,1177.0,2820.0,25.48722390645301,61.065396275443916
06037141500,24,3089,16.57,7.769504694075753,1400000US06037141500,"Census Tract 1415, Los Angeles County, California",3015.0,65.0,163.0,2.155887230514096,5.406301824212272
06037670202,21,2710,39.3,7.749077490774908,1400000US06037670202,"Census Tract 6702.02, Los Angeles County, California",2206.0,315.0,7.0,14.279238440616501,0.3173164097914778
06037543304,49,6339,97.26,7.72992585581322,1400000US06037543304,"Census Tract 5433.04, Los Angeles County, California",6506.0,527.0,5129.0,8.10021518598217,78.83492161082079
06037236400,34,4400,90.7,7.7272727272727275,1400000US06037236400,"Census Tract 2364, Los Angeles County, California",4368.0,330.0,3426.0,7.554945054945055,78.43406593406593
06037234000,44,5721,98.58,7.690963118335955,,,,,,,
06037141600,31,4158,19.7,7.455507455507456,1400000US06037141600,"Census Tract 1416, Los Angeles County, California",4198.0,270.0,144.0,6.431634111481658,3.430204859456884
