activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2018,5Z1UQ1CWY0DQ3KJWDQ07,17900,SC,45079,45079011606,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,2,2,5,1,1,2,2,75000.0,,4.99,,2,,,,,,,,,2,2,2,2,115000,1,1,3,5,1,,,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7,,,,,3,3,4,4,3,3,8888,8888,,,3,3,6,,,,,10,,,,5139,63.77,68800,101,1411,1951,35
2018,5Z1UQ1CWY0DQ3KJWDQ07,17900,SC,45079,45079010102,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,2,2,5,1,1,2,2,75000.0,,5.06,,2,,,,,,,,,2,2,2,2,125000,1,1,3,5,1,,,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7,,,,,3,3,4,4,3,3,8888,8888,,,3,3,6,,,,,10,,,,6860,53.85,68800,128,1815,2465,13
2018,5Z1UQ1CWY0DQ3KJWDQ07,17900,SC,45079,45079010200,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,2,2,5,1,1,2,2,75000.0,,5.06,,2,,,,,,,,,2,2,2,2,115000,1,1,3,5,1,,,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7,,,,,3,3,4,4,3,3,8888,8888,,,3,3,6,,,,,10,,,,5437,52.51,68800,131,1751,2404,26
2018,5Z1UQ1CWY0DQ3KJWDQ07,17900,SC,45079,45079010501,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,2,2,5,1,1,2,2,45000.0,,5.06,,2,,,,,,,,,2,2,2,2,65000,1,1,3,5,1,,,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7,,,,,3,3,4,4,3,3,8888,8888,,,3,3,6,,,,,10,,,,2103,57.96,68800,53,386,751,53
2018,5Z1UQ1CWY0DQ3KJWDQ07,17900,SC,45079,45079011603,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,2,2,5,1,1,2,2,75000.0,,5.06,,2,,,,,,,,,2,2,2,2,125000,1,1,3,5,1,,,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7,,,,,3,3,4,4,3,3,8888,8888,,,3,3,6,,,,,10,,,,4893,26.65,68800,122,1384,1867,41
2018,549300QUX3LK82LO3013,17900,SC,45079,45079010103,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,3,0,2,2,31,1,1,1,2,35000.0,,,,3,,,,,,,,12,2,2,2,2,,1,1,3,5,1,,25.0,,9,9,2.0,,,,,5.0,,,,,2,4,3.0,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,Yes,,1,1,6,,,,,5,,,,17669,62.48,68800,125,4588,6874,12
2018,5493001FXF3J5C0QWQ87,17900,SC,45079,45079011102,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,2,2,2,1,1,1,2,2,265000.0,,4.3,,3,,,,,,,,,2,2,2,2,475000,1,1,3,5,1,,41.0,,9,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5,,,,,2,2,2,1,2,2,>74,>74,Yes,Yes,1,1,6,,,,,10,,,,4034,28.93,68800,134,1405,1691,54
2018,5493001FXF3J5C0QWQ87,17900,SC,45079,45079011101,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,2,0,2,2,2,1,1,2,2,115000.0,,,,3,,,,,,,,,2,2,2,2,195000,1,1,3,5,1,,15.0,,9,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,,2,1,6,,,,,10,,,,3486,40.48,68800,106,933,1376,51
2018,5493001FXF3J5C0QWQ87,17900,SC,45079,45079011607,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,2,2,2,1,1,1,2,2,75000.0,,5.06,,3,,,,,,,,,2,2,2,2,145000,1,1,3,5,1,,28.0,,9,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8,,,,,2,4,2,5,2,4,>74,9999,Yes,,2,1,6,,,,,10,,,,4277,71.59,68800,58,562,878,16
2018,5493001FXF3J5C0QWQ87,17900,SC,45079,45079011604,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,2,2,2,31,1,1,1,2,235000.0,,4.952,,3,,,,,,,,12,2,2,2,2,535000,1,1,3,5,1,,31.0,,9,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8,,,,,2,4,1,5,2,4,65-74,9999,Yes,,2,1,6,,,,,10,,,,5128,18.43,68800,172,1743,1967,30
