activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2021,5493001FXF3J5C0QWQ87,31084,CA,06037,06037700501,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,2,0,2,1,31,1,1,2,2,1025000.0,,7.25,,3,,,,,,,,,2,2,2,2,2105000,1,1,3,5,1,,39.0,,3,10,2.0,,,,,5.0,,,,,2,4,3,,,,,8.0,,,,,2,4,1,5,2,4,65-74,9999,Yes,,2,1,6,,,,,10,,,,3931,35.56,80000,130,845,766,52
2021,549300WH9FMXOC63ZV77,31084,CA,06037,06037461300,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,0,2,1,32,1,1,2,2,1025000.0,,6.99,,3,,,,,,,,,2,2,2,2,1975000,1,1,3,5,1,,53.0,,9,9,2.0,,,,,2.0,,,,,2,2,3,,,,,3.0,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,6,,,,,10,,,,7034,38.74,80000,154,1335,2439,75
2021,549300S5YL3OH0IVCS62,31084,CA,06037,06037703002,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,0,2,1,31,1,1,1,2,1025000.0,,5.5,,3,,,,,,,,6,2,2,2,2,1675000,1,1,3,5,1,,56.0,,9,9,2.0,,,,,2.0,,,,,2,2,3,,,,,3.0,,,,,2,2,2,1,2,1,>74,>74,Yes,Yes,2,2,6,,,,,10,,,,7769,87.48999999999998,80000,197,2206,2823,56
2021,549300WH9FMXOC63ZV77,31084,CA,06037,06037703200,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,0,2,1,32,1,1,2,2,1045000.0,,5.875,,3,,,,,,,,,2,2,2,2,1835000,1,1,3,5,1,,83.0,,9,10,2.0,,,,,5.0,,,,,2,4,3,,,,,8.0,,,,,2,4,2,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,6124,90.81,80000,175,1797,2322,71
2021,5493001FXF3J5C0QWQ87,31084,CA,06037,06037703002,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,2,0,2,1,31,1,1,2,2,1065000.0,,6.99,,3,,,,,,,,,2,2,2,2,1855000,1,1,3,5,1,,110.0,,3,3,2.0,,,,,2.0,,,,,2,2,3,,,,,3.0,,,,,2,2,1,2,2,2,>74,>74,Yes,Yes,2,1,6,,,,,10,,,,7769,87.48999999999998,80000,197,2206,2823,56
2021,549300MHH03ICJYEPE85,31084,CA,06037,06037703002,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,9,2,1,32,1,1,2,2,1065000.0,,6.875,,3,,,,,,,,,2,2,2,2,1955000,1,1,3,5,1,,58.0,,9,9,2.0,,,,,2.0,,,,,2,2,3,,,,,3.0,,,,,2,2,1,2,2,2,>74,65-74,Yes,Yes,1,1,6,,,,,10,,,,7769,87.48999999999998,80000,197,2206,2823,56
2021,549300S5YL3OH0IVCS62,31084,CA,06037,06037703002,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,0,2,1,31,1,1,2,2,1065000.0,,6.99,,3,,,,,,,,,2,2,2,2,1855000,1,1,3,5,1,,104.0,,9,9,2.0,,,,,2.0,,,,,2,2,3,,,,,3.0,,,,,2,2,1,2,2,2,>74,>74,Yes,Yes,2,1,6,,,,,10,,,,7769,87.48999999999998,80000,197,2206,2823,56
2021,5493001FXF3J5C0QWQ87,31084,CA,06037,06037703002,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,5,2,1,31,1,1,2,2,1075000.0,,6.99,,3,,,,,,,,,2,2,2,2,1815000,1,1,3,5,1,,76.0,,3,10,2.0,,,,,5.0,,,,,2,4,3,,,,,8.0,,,,,2,4,2,5,2,4,>74,9999,Yes,,2,1,6,,,,,10,,,,7769,87.48999999999998,80000,197,2206,2823,56
2021,549300S5YL3OH0IVCS62,31084,CA,06037,06037700501,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,5,2,1,31,1,1,1,2,1085000.0,,5.5,,3,,,,,,,,5,2,2,2,2,1805000,1,1,3,5,1,,39.0,,9,10,2.0,,,,,5.0,,,,,2,4,3,,,,,8.0,,,,,2,4,1,5,2,4,>74,9999,Yes,,2,1,6,,,,,10,,,,3931,35.56,80000,130,845,766,52
2021,549300WH9FMXOC63ZV77,31084,CA,06037,06037703002,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,0,2,1,32,1,1,2,2,1095000.0,,6.99,,3,,,,,,,,,2,2,2,2,2005000,1,1,3,5,1,,52.0,,9,9,2.0,,,,,2.0,,,,,2,2,3,,,,,3.0,,,,,2,2,2,1,2,2,65-74,>74,Yes,Yes,1,1,6,,,,,10,,,,7769,87.48999999999998,80000,197,2206,2823,56
