activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2021,5493001FXF3J5C0QWQ87,31084,CA,06037,06037900102,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,5,0,2,2,31,1,1,1,2,105000.0,,,,3,,,,,,,,12,2,2,2,2,,1,1,3,5,1,,31.0,,9,9,1,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,55-64,9999,Yes,,1,1,6,,,,,10,,,,691,55.72,80000,38,155,487,51
2021,549300TINI6CL78UD591,31084,CA,06037,06037201302,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,2,2,2,31,1,1,1,2,105000.0,,2.83,,3,,,,,,,,,2,2,2,2,675000,1,1,3,5,1,,11.0,,9,9,1,11.0,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,3652,78.59,80000,104,1161,484,32
2021,549300TINI6CL78UD591,31084,CA,06037,06037900501,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,4,0,2,2,31,1,1,1,2,105000.0,,,,3,,,,,,,,,2,2,2,2,,1,1,3,5,1,,12.0,,9,9,1,14.0,,,,1.0,14.0,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,6,,,,,10,,,,6429,78.15999999999998,80000,61,1046,2105,34
2021,549300TINI6CL78UD591,31084,CA,06037,06037901205,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,2,2,2,31,1,1,1,2,105000.0,,2.66,,3,,,,,,,,,2,2,2,2,385000,1,1,3,5,1,,79.0,,9,9,1,14.0,,,,1.0,14.0,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,55-64,55-64,Yes,Yes,1,1,6,,,,,10,,,,11642,44.89,80000,137,2536,3460,21
2021,2549001SI0EMFPT39035,31084,CA,06037,06037402903,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,6,2,1,2,1,1,1,2,105000.0,,,,2,,,,,,,,,1,1,1,1,,1,1,3,5,1,,2794.0,,9,9,1,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,8888,8888,,,1,1,6,,,,,10,,,,4517,96.7,80000,79,525,956,42
2021,5493001FXF3J5C0QWQ87,31084,CA,06037,06037670328,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,5,2,1,31,1,1,1,2,1125000.0,,0.0,,3,,,,,,,,3,2,2,2,2,2105000,1,1,3,5,1,,32.0,,3,2,1,,,,,1.0,14.0,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,>74,65-74,Yes,Yes,2,1,6,,,,,10,,,,4901,31.81,80000,341,1330,1533,48
2021,549300TINI6CL78UD591,31084,CA,06037,06037204600,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,2,2,2,31,1,1,1,2,115000.0,,2.57,,3,,,,,,,,,2,2,2,2,545000,1,1,3,5,1,,14.0,,9,9,1,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,4633,98.4,80000,62,254,817,71
2021,549300S5YL3OH0IVCS62,31084,CA,06037,06037297500,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,0,2,1,31,1,1,2,2,1205000.0,,5.875,,3,,,,,,,,,2,2,2,2,2225000,1,1,3,5,1,,0.0,,9,10,1,11.0,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,5100,46.53,80000,130,1236,1820,58
2021,549300TINI6CL78UD591,31084,CA,06037,06037532700,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,2,2,2,31,1,1,1,2,125000.0,,3.81,,3,,,,,,,,,2,2,2,2,375000,1,1,3,5,1,,12.0,,9,9,1,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,2964,98.85,80000,56,203,663,64
2021,2549001SI0EMFPT39035,31084,CA,06037,06037408303,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,71,2,1,2,1,1,1,2,125000.0,,,,2,,,,,,,,,1,1,1,1,,1,1,3,5,1,,2337.0,,9,9,1,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,8888,8888,,,1,1,6,,,,,10,,,,4363,90.74,80000,144,1012,1139,49
