activity_year_x,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,tax_id,agency_code,respondent_name,respondent_state,respondent_city,respondent_zip_code
2018,549300WH9FMXOC63ZV77,40900,CA,06067,06067009103,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,5,0,2,2,31,1,1,1,2,135000.0,,,,3,,,,,,,,13.0,2,2,2,2,,1,1,3,5,1,,19.0,,9,9,3.0,,,,,5.0,,,,,3,4,6.0,,,,,8.0,,,,,3,4,2,5,3,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,3334,46.22,80400,66,603,1119,35,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,40900,CA,06067,06067007906,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,5,0,2,2,31,1,1,1,2,225000.0,,,,3,,,,,,,,13.0,2,2,2,2,,1,1,3,5,1,,6.0,,9,9,3.0,,,,,5.0,,,,,3,4,6.0,,,,,8.0,,,,,3,4,2,5,3,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,3595,25.98,80400,107,896,1263,39,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,40900,CA,06067,06067009639,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,5,0,2,2,31,1,1,1,2,225000.0,,,,3,,,,,,,,13.0,2,2,2,2,,1,1,3,5,1,,53.0,,9,9,3.0,,,,,3.0,,,,,3,3,6.0,,,,,6.0,,,,,3,3,1,2,3,3,65-74,65-74,Yes,Yes,1,1,6,,,,,10,,,,3847,78.06,80400,76,685,924,13,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,40900,CA,06067,06067008132,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,5,0,2,2,31,1,1,1,2,225000.0,,,,3,,,,,,,,13.0,2,2,2,2,,1,1,3,5,1,,0.0,,9,9,3.0,,,,,5.0,,,,,3,4,6.0,,,,,8.0,,,,,3,4,3,5,3,4,>74,9999,Yes,,1,1,6,,,,,10,,,,3679,23.24,80400,89,1190,1502,36,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,40900,CA,06067,06067004300,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,71,2,2,31,1,1,1,2,125000.0,,4.982,,3,,,,,,,,13.0,2,2,2,2,225000.0,1,1,3,5,1,,21.0,,9,10,2.0,,,,,5.0,,,,,3,4,3.0,,,,,8.0,,,,,3,4,2,5,3,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,9293,88.48,80400,58,1263,2405,41,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,40900,CA,06067,06067009111,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,2,0,2,2,31,1,1,2,2,195000.0,,5.06,,3,,,,,,,,,2,2,2,2,315000.0,1,1,3,5,1,,33.0,,9,9,2.0,,,,,2.0,,,,,3,3,5.0,,,,,5.0,,,,,3,3,2,1,3,3,>74,>74,Yes,Yes,1,1,6,,,,,10,,,,6045,56.11,80400,90,1103,1737,38,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,40900,CA,06067,06067009408,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,2,31,1,1,1,2,245000.0,,,,3,,,,,,,,13.0,2,2,2,2,535000.0,1,1,3,5,1,,32.0,,9,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,>74,9999,Yes,,2,1,6,,,,,9,,,,1776,42.0,80400,136,357,535,21,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,40900,CA,06067,06067005605,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,2,2,31,1,1,2,2,135000.0,,5.18,,3,,,,,,,,,2,2,2,2,295000.0,1,1,3,5,1,,22.0,,9,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,3565,55.99,80400,62,550,1016,57,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,40900,CA,06067,06067009634,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Female,1,6,2,2,31,1,1,2,2,145000.0,,5.06,,3,,,,,,,,,2,2,2,2,215000.0,1,1,3,5,1,,21.0,,9,10,1.0,14.0,,,,5.0,,,,,2,4,7.0,,,,,8.0,,,,,3,4,2,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,4299,88.83,80400,43,478,1043,32,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
2018,549300WH9FMXOC63ZV77,40900,CA,06067,06067008120,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,2,2,31,1,1,1,2,165000.0,,5.346,,3,,,,,,,,13.0,2,2,2,2,345000.0,1,1,3,5,1,,20.0,,9,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,4258,29.59,80400,75,800,1371,37,11-3469077,7,Nationwide Equities Corporation,NJ,Mahwah,07495
