census_tract,_rm_per_1000,rm_no,county_code,county,state_code,census_tract_np,census_tract_period,total_population,62yr_pp_pct,median_age,hispanic_pp_pct,non_hispanic_black_pp_pct
06071009707,7.616974972796518,49,06071, San Bernardino County,CA,9707,97.07,6433,48.6%,60.9,23.3%,5.7%
06071010902,7.15307582260372,15,06071, San Bernardino County,CA,10902,109.02,2097,26.9%,46.2,23.1%,0.3%
06071011002,6.324666198172874,9,06071, San Bernardino County,CA,11002,110.02,1423,25.3%,49.1,28.7%,3.4%
06071011203,4.985754985754986,7,06071, San Bernardino County,CA,11203,112.03,1404,33.0%,50.5,28.9%,0.3%
06071010901,4.85319097306479,20,06071, San Bernardino County,CA,10901,109.01,4121,34.7%,48.5,14.9%,1.7%
06071011403,4.056795131845842,14,06071, San Bernardino County,CA,11403,114.03,3451,25.9%,43,25.4%,2.8%
06071011300,3.57653791130186,5,06071, San Bernardino County,CA,11300,113,1398,45.5%,59.9,16.8%,0.1%
06071000815,3.4374104841019766,12,06071, San Bernardino County,CA,815,8.15,3491,27.4%,49.9,30.0%,3.6%
06071011101,3.4034653465346536,11,06071, San Bernardino County,CA,11101,111.01,3232,22.0%,42.4,11.9%,1.5%
06071010802,3.4031413612565444,13,06071, San Bernardino County,CA,10802,108.02,3820,22.1%,46,21.7%,3.7%
06071011401,3.3281562014643886,15,06071, San Bernardino County,CA,11401,114.01,4507,22.2%,39.7,36.1%,0.2%
06071002015,3.309066843150232,15,06071, San Bernardino County,CA,2015,20.15,4533,19.2%,39.3,40.9%,2.8%
06071002017,3.214859796392213,18,06071, San Bernardino County,CA,2017,20.17,5599,24.7%,47.3,27.8%,1.5%
06071010411,3.153626670671272,21,06071, San Bernardino County,CA,10411,104.11,6659,30.5%,45.9,18.5%,2.9%
06071000812,3.1479538300104934,12,06071, San Bernardino County,CA,812,8.12,3812,20.0%,40.5,35.7%,3.7%
06071000820,3.097573567372225,12,06071, San Bernardino County,CA,820,8.2,3874,25.7%,49.7,18.0%,3.0%
06071010419,3.05935141749949,15,06071, San Bernardino County,CA,10419,104.19,4903,22.5%,40.7,21.0%,0.4%
06071010424,2.8873917228103942,6,06071, San Bernardino County,CA,10424,104.24,2078,34.8%,54.7,20.5%,1.1%
06071000816,2.853745541022592,12,06071, San Bernardino County,CA,816,8.16,4205,25.7%,44.6,28.3%,4.4%
06071011404,2.8353326063249726,13,06071, San Bernardino County,CA,11404,114.04,4585,22.7%,44.1,19.5%,1.3%
06071002018,2.821792923811591,13,06071, San Bernardino County,CA,2018,20.18,4607,18.5%,43.7,29.4%,3.0%
06071000804,2.820432466311501,9,06071, San Bernardino County,CA,804,8.04,3191,22.9%,48,27.8%,0.0%
06071007404,2.7993109388458226,13,06071, San Bernardino County,CA,7404,74.04,4644,24.7%,38.1,47.1%,9.0%
06071009715,2.7217056021773645,24,06071, San Bernardino County,CA,9715,97.15,8818,24.4%,37.5,38.5%,5.7%
06071002013,2.693437806072478,11,06071, San Bernardino County,CA,2013,20.13,4084,25.2%,42.7,28.4%,5.6%
06071007104,2.555583950932788,10,06071, San Bernardino County,CA,7104,71.04,3913,22.7%,46.1,45.7%,5.1%
06071000818,2.486610558530987,13,06071, San Bernardino County,CA,818,8.18,5228,22.2%,44.4,36.4%,6.6%
06071002703,2.4691358024691357,14,06071, San Bernardino County,CA,2703,27.03,5670,12.2%,33,62.5%,13.9%
06071010019,2.443494196701283,12,06071, San Bernardino County,CA,10019,100.19,4911,16.4%,37,63.2%,1.4%
06071002027,2.4007386888273317,13,06071, San Bernardino County,CA,2027,20.27,5415,17.6%,39.2,50.8%,8.8%
06071010021,2.3834351258751676,16,06071, San Bernardino County,CA,10021,100.21,6713,15.9%,35.6,48.9%,1.8%
06071011204,2.373887240356083,4,06071, San Bernardino County,CA,11204,112.04,1685,22.2%,43.3,26.4%,0.0%
06071012400,2.362669816893089,8,06071, San Bernardino County,CA,12400,124,3386,11.3%,29.8,83.8%,2.1%
06071011500,2.352941176470588,5,06071, San Bernardino County,CA,11500,115,2125,19.9%,44.5,14.9%,0.5%
06071002025,2.302820955670697,12,06071, San Bernardino County,CA,2025,20.25,5211,23.7%,40.9,34.4%,3.1%
06071008800,2.2271714922048997,14,06071, San Bernardino County,CA,8800,88,6286,14.4%,31.6,43.5%,1.9%
06071010803,2.207505518763797,7,06071, San Bernardino County,CA,10803,108.03,3171,26.1%,42.5,23.4%,0.9%
06071002604,2.1459227467811157,12,06071, San Bernardino County,CA,2604,26.04,5592,6.0%,30.3,73.2%,6.5%
06071004604,2.134851449919943,12,06071, San Bernardino County,CA,4604,46.04,5621,10.3%,27.9,75.7%,8.1%
06071001804,2.0952380952380953,11,06071, San Bernardino County,CA,1804,18.04,5250,14.9%,35.6,59.0%,5.2%
06071002014,2.082899395959175,10,06071, San Bernardino County,CA,2014,20.14,4801,22.4%,44.3,29.9%,5.9%
06071004001,2.061383417315621,9,06071, San Bernardino County,CA,4001,40.01,4366,12.5%,32,80.9%,4.2%
06071010012,2.014098690835851,10,06071, San Bernardino County,CA,10012,100.12,4965,14.8%,32.5,54.8%,3.4%
06071009908,1.996007984031936,9,06071, San Bernardino County,CA,9908,99.08,4509,13.8%,31.3,53.5%,11.7%
06071009713,1.9886798225485698,13,06071, San Bernardino County,CA,9713,97.13,6537,15.7%,36.3,39.1%,6.7%
06071010412,1.978369823265629,15,06071, San Bernardino County,CA,10412,104.12,7582,19.8%,38.5,15.3%,8.6%
06071009107,1.9579689335595873,15,06071, San Bernardino County,CA,9107,91.07,7661,24.6%,43.3,34.3%,0.0%
06071010410,1.9193857965451055,6,06071, San Bernardino County,CA,10410,104.1,3126,16.6%,39.5,22.6%,3.3%
