activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2018,549300WH9FMXOC63ZV77,40140,CA,06071,06071005300,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,4,0,2,2,31,1,1,1,2,135000.0,,,,3,,,,,,,,13,2,2,2,2,,1,1,3,5,1,,28.0,,9,9,2.0,,,,,2.0,,,,,3,3,3.0,,,,,3.0,,,,,3,3,1,2,3,3,>74,>74,Yes,Yes,1,1,6,,,,,10,,,,5539,82.31,65800,60,832,1524,63
2018,549300WH9FMXOC63ZV77,40140,CA,06071,06071011600,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,2,31,1,1,1,2,195000.0,,,,3,,,,,,,,13,2,2,2,2,,1,1,3,5,1,,60.0,,9,9,2.0,,,,,2.0,,,,,3,3,5.0,,,,,5.0,,,,,3,3,1,2,3,3,>74,>74,Yes,Yes,1,1,6,,,,,10,,,,8051,29.66,65800,114,1908,3496,26
2018,549300WH9FMXOC63ZV77,40140,CA,06071,06071008704,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,2,31,1,1,1,2,325000.0,,4.885,,3,,,,,,,,13,2,2,2,2,605000,1,1,3,5,1,,34.0,,9,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,6,,,,,10,,,,8670,40.17,65800,96,2030,2892,38
2018,549300WH9FMXOC63ZV77,40140,CA,06071,06071011101,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,4,0,2,2,31,1,1,1,2,95000.0,,,,3,,,,,,,,13,2,2,2,2,,1,1,3,5,1,,28.0,,9,9,4.0,,,,,5.0,,,,,3,4,7.0,,,,,8.0,,,,,3,4,1,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,3565,24.29,65800,121,965,2626,42
2018,549300WH9FMXOC63ZV77,40140,CA,06071,06071002107,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,2,2,31,1,1,1,2,255000.0,,4.82,,3,,,,,,,,13,2,2,2,2,435000,1,1,3,5,1,,18.0,,9,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,5205,62.88,65800,72,803,1242,34
2018,5Z1UQ1CWY0DQ3KJWDQ07,40140,CA,06071,06071000817,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,2,2,5,1,1,2,2,225000.0,,4.99,,2,,,,,,,,,2,2,2,2,355000,1,1,3,5,1,,,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7.0,,,,,3,3,4,4,3,3,8888,8888,,,3,3,6,,,,,10,,,,3479,46.28,65800,134,1070,1305,39
2018,5Z1UQ1CWY0DQ3KJWDQ07,40140,CA,06071,06071002022,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,2,2,5,1,1,2,2,395000.0,,4.0,,2,,,,,,,,,2,2,2,2,565000,1,1,3,5,1,,,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7.0,,,,,3,3,4,4,3,3,8888,8888,,,3,3,6,,,,,10,,,,12999,66.67,65800,233,3183,3439,12
2018,5Z1UQ1CWY0DQ3KJWDQ07,40140,CA,06071,06071000813,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,2,2,5,1,1,2,2,275000.0,,5.06,,2,,,,,,,,,2,2,2,2,435000,1,1,3,5,1,,,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7.0,,,,,3,3,4,4,3,3,8888,8888,,,3,3,6,,,,,10,,,,3529,33.92,65800,163,1102,1323,0
2018,5Z1UQ1CWY0DQ3KJWDQ07,40140,CA,06071,06071003801,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,2,2,5,1,1,2,2,125000.0,,4.99,,2,,,,,,,,,2,2,2,2,185000,1,1,3,5,1,,,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7.0,,,,,3,3,4,4,3,3,8888,8888,,,3,3,6,,,,,10,,,,4435,86.84999999999998,65800,105,798,1088,41
2018,5Z1UQ1CWY0DQ3KJWDQ07,40140,CA,06071,06071000117,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,2,2,5,1,1,2,2,345000.0,,5.06,,2,,,,,,,,,2,2,2,2,55000,1,1,3,5,1,,,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7.0,,,,,3,3,4,4,3,3,8888,8888,,,3,3,6,,,,,10,,,,6884,67.13,65800,180,1933,2197,23
