census_tract,_rm_per_1000,rm_no,county_code,county,state_code,census_tract_np,census_tract_period,total_population,62yr_pp_pct,median_age,hispanic_pp_pct,non_hispanic_black_pp_pct
06073017014,15.276145710928319,39,06073, San Diego County,CA,17014,170.14,2553,79.2%,72.9,8.4%,1.2%
06073019808,12.632062471290766,55,06073, San Diego County,CA,19808,198.08,4354,55.8%,66.3,5.6%,0.0%
06073018512,11.363636363636363,45,06073, San Diego County,CA,18512,185.12,3960,51.8%,63.3,24.8%,6.8%
06073017306,9.43009430094301,23,06073, San Diego County,CA,17306,173.06,2439,32.6%,54.4,7.7%,0.0%
06073017019,8.392027573804885,56,06073, San Diego County,CA,17019,170.19,6673,51.4%,62.8,10.1%,2.1%
06073018803,7.8496178475521585,38,06073, San Diego County,CA,18803,188.03,4841,27.5%,48.1,26.6%,1.1%
06073014804,6.809338521400778,28,06073, San Diego County,CA,14804,148.04,4112,26.6%,42,25.5%,5.4%
06073017403,6.361085126286248,34,06073, San Diego County,CA,17403,174.03,5345,27.3%,48.1,11.3%,0.0%
06073019804,6.346328195829556,28,06073, San Diego County,CA,19804,198.04,4412,24.0%,47.1,10.8%,0.2%
06073017200,6.277609858172518,27,06073, San Diego County,CA,17200,172,4301,30.0%,49.4,10.8%,1.2%
06073020026,6.05245460659045,27,06073, San Diego County,CA,20026,200.26,4461,25.9%,46.1,16.1%,2.4%
06073018608,6.0455192034139404,17,06073, San Diego County,CA,18608,186.08,2812,22.6%,42.5,21.3%,5.0%
06073019001,5.824910056535892,34,06073, San Diego County,CA,19001,190.01,5837,40.4%,55.4,19.8%,0.0%
06073020304,5.57757228827242,38,06073, San Diego County,CA,20304,203.04,6813,24.7%,44.3,23.4%,0.6%
06073018802,5.528846153846154,46,06073, San Diego County,CA,18802,188.02,8320,37.4%,53.5,14.4%,1.1%
06073019809,5.517933283170303,22,06073, San Diego County,CA,19809,198.09,3987,35.4%,55.1,12.4%,1.6%
06073002903,5.457702803274621,22,06073, San Diego County,CA,2903,29.03,4031,14.3%,38.7,41.6%,9.5%
06073020401,5.434782608695652,12,06073, San Diego County,CA,20401,204.01,2208,36.9%,56.4,12.6%,0.6%
06073008303,5.434782608695652,19,06073, San Diego County,CA,8303,83.03,3496,44.1%,57.8,8.1%,0.3%
06073019105,5.248425472358292,30,06073, San Diego County,CA,19105,191.05,5716,32.9%,50,17.8%,0.0%
06073016201,5.202526941657376,28,06073, San Diego County,CA,16201,162.01,5382,26.2%,44.4,17.5%,2.4%
06073008353,5.065263978180401,26,06073, San Diego County,CA,8353,83.53,5133,21.9%,44.3,16.5%,5.6%
06073019203,4.953998584571833,14,06073, San Diego County,CA,19203,192.03,2826,22.7%,40.8,27.8%,2.5%
06073017305,4.923076923076923,16,06073, San Diego County,CA,17305,173.05,3250,33.6%,48.9,4.5%,0.9%
06073017107,4.8712595685455815,14,06073, San Diego County,CA,17107,171.07,2874,21.7%,45.6,8.1%,0.1%
06073007100,4.851157662624035,22,06073, San Diego County,CA,7100,71,4535,38.5%,54.5,7.7%,2.8%
06073009704,4.771642808452625,28,06073, San Diego County,CA,9704,97.04,5868,25.4%,42.9,15.6%,4.1%
06073003001,4.716981132075471,22,06073, San Diego County,CA,3001,30.01,4664,15.1%,34.2,43.3%,37.0%
06073019302,4.6801872074882995,36,06073, San Diego County,CA,19302,193.02,7692,21.2%,39.5,23.2%,4.1%
06073019905,4.641448131817127,20,06073, San Diego County,CA,19905,199.05,4309,21.4%,39.2,23.0%,5.1%
06073017104,4.608294930875576,18,06073, San Diego County,CA,17104,171.04,3906,24.5%,44,12.9%,0.0%
06073018801,4.602403477371516,18,06073, San Diego County,CA,18801,188.01,3911,30.9%,49.9,21.5%,1.0%
06073002001,4.537205081669692,15,06073, San Diego County,CA,2001,20.01,3306,29.9%,52.7,6.7%,2.5%
06073000100,4.526349822179115,14,06073, San Diego County,CA,100,1,3093,38.6%,54.2,15.8%,0.0%
06073017809,4.5167118337850045,10,06073, San Diego County,CA,17809,178.09,2214,25.0%,44.5,12.1%,0.1%
06073020904,4.49842555105713,10,06073, San Diego County,CA,20904,209.04,2223,39.8%,57.2,13.5%,0.0%
06073018517,4.464285714285714,21,06073, San Diego County,CA,18517,185.17,4704,21.2%,40.6,28.4%,1.4%
06073020305,4.340138241440283,27,06073, San Diego County,CA,20305,203.05,6221,17.6%,36.1,26.2%,4.5%
06073017603,4.275165176836378,11,06073, San Diego County,CA,17603,176.03,2573,22.2%,44.8,31.1%,0.3%
06073017401,4.220893422441084,24,06073, San Diego County,CA,17401,174.01,5686,27.5%,45,10.3%,0.0%
06073015403,4.200076365024819,11,06073, San Diego County,CA,15403,154.03,2619,27.5%,46.4,5.7%,0.6%
06073017501,4.140786749482402,12,06073, San Diego County,CA,17501,175.01,2898,24.7%,40.9,15.3%,0.3%
06073008506,4.112554112554113,19,06073, San Diego County,CA,8506,85.06,4620,17.3%,39.1,24.0%,2.4%
06073008301,4.1039671682626535,12,06073, San Diego County,CA,8301,83.01,2924,38.6%,51.5,11.9%,2.0%
06073018515,3.9857352632683027,19,06073, San Diego County,CA,18515,185.15,4767,25.2%,42.1,16.4%,3.7%
06073017601,3.9398280802292263,22,06073, San Diego County,CA,17601,176.01,5584,41.2%,53.5,4.7%,0.2%
06073018100,3.9254170755642783,24,06073, San Diego County,CA,18100,181,6114,17.8%,39,26.1%,0.3%
06073016610,3.9196472317491424,16,06073, San Diego County,CA,16610,166.1,4082,12.0%,38.8,16.7%,1.3%
06073014805,3.900871959614502,17,06073, San Diego County,CA,14805,148.05,4358,14.9%,33,14.6%,6.2%
06073016612,3.87466307277628,23,06073, San Diego County,CA,16612,166.12,5936,18.3%,37.1,15.7%,1.4%
06073008501,3.8532417490366897,23,06073, San Diego County,CA,8501,85.01,5969,15.4%,34.7,17.0%,0.0%
06073009103,3.8489295164782296,16,06073, San Diego County,CA,9103,91.03,4157,23.7%,41.8,16.2%,0.6%
06073020015,3.799240151969606,19,06073, San Diego County,CA,20015,200.15,5001,23.1%,43.4,6.8%,0.8%
06073021800,3.745318352059925,9,06073, San Diego County,CA,21800,218,2403,28.9%,50.1,19.0%,0.3%
06073008512,3.727479809484365,18,06073, San Diego County,CA,8512,85.12,4829,24.4%,44.9,15.6%,1.7%
06073016613,3.721424774056353,7,06073, San Diego County,CA,16613,166.13,1881,16.9%,42.1,15.3%,1.3%
06073003101,3.711952487008166,15,06073, San Diego County,CA,3101,31.01,4041,15.6%,35.4,57.9%,33.4%
06073019103,3.6958817317845827,21,06073, San Diego County,CA,19103,191.03,5682,21.4%,41.2,25.9%,0.8%
06073018000,3.6832412523020257,12,06073, San Diego County,CA,18000,180,3258,26.8%,40.3,10.2%,0.5%
06073009801,3.6580670003850595,19,06073, San Diego County,CA,9801,98.01,5194,28.0%,46.7,14.2%,2.6%
06073010800,3.654970760233918,10,06073, San Diego County,CA,10800,108,2736,24.2%,48.8,11.8%,0.0%
06073015406,3.646677471636953,9,06073, San Diego County,CA,15406,154.06,2468,28.2%,48.3,17.6%,0.2%
06073013601,3.621314019658562,21,06073, San Diego County,CA,13601,136.01,5799,20.3%,39.5,34.7%,9.6%
06073020903,3.61247947454844,11,06073, San Diego County,CA,20903,209.03,3045,39.8%,56.7,11.5%,1.2%
06073003212,3.610977371208474,15,06073, San Diego County,CA,3212,32.12,4154,21.0%,41.1,40.7%,10.3%
06073009602,3.593675131768088,15,06073, San Diego County,CA,9602,96.02,4174,24.3%,42.5,18.4%,4.2%
06073008510,3.5295778624876464,25,06073, San Diego County,CA,8510,85.1,7083,20.8%,39,23.1%,4.2%
06073008324,3.4597287572654305,25,06073, San Diego County,CA,8324,83.24,7226,27.4%,47.1,4.8%,1.8%
06073015200,3.4455340577789557,13,06073, San Diego County,CA,15200,152,3773,27.6%,47.2,22.2%,5.6%
06073008505,3.443957420162805,22,06073, San Diego County,CA,8505,85.05,6388,15.1%,37.3,28.7%,3.1%
06073017801,3.361590178310436,23,06073, San Diego County,CA,17801,178.01,6842,19.4%,41.8,18.2%,0.0%
06073021206,3.3598045204642637,11,06073, San Diego County,CA,21206,212.06,3274,23.3%,41.2,8.9%,0.0%
06073014500,3.3505154639175254,13,06073, San Diego County,CA,14500,145,3880,14.4%,32.7,39.4%,14.2%
06073020710,3.3003300330033003,6,06073, San Diego County,CA,20710,207.1,1818,30.4%,51.1,18.9%,1.2%
06073017051,3.2767925983037776,17,06073, San Diego County,CA,17051,170.51,5188,27.1%,44.8,11.1%,6.7%
06073017810,3.27653997378768,15,06073, San Diego County,CA,17810,178.1,4578,28.2%,49.4,6.7%,1.4%
06073003103,3.276003276003276,20,06073, San Diego County,CA,3103,31.03,6105,19.6%,38.1,43.5%,29.2%
06073014101,3.2640949554896146,11,06073, San Diego County,CA,14101,141.01,3370,18.2%,36,46.1%,4.5%
06073008509,3.256886958881802,24,06073, San Diego County,CA,8509,85.09,7369,20.2%,34.3,21.0%,6.9%
06073015100,3.2546786004882016,16,06073, San Diego County,CA,15100,151,4916,16.9%,35.7,19.6%,7.2%
