activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2021,5493001FXF3J5C0QWQ87,17900,SC,45079,45079010306,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,2,2,2,31,1,1,1,2,415000.0,,3.075,,3,,,,,,,,12,2,2,2,2,855000,1,1,3,5,1,,478.0,,9,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,65-74,55-64,Yes,Yes,2,1,6,,,,,10,,,,9460,15.2,70800,162,2847,3437,14
2021,5493001FXF3J5C0QWQ87,25940,SC,45013,45013002108,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,2,2,2,1,1,1,1,2,295000.0,,2.81,,3,,,,,,,,12,2,2,2,2,515000,1,1,3,5,1,,60.0,,9,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,65-74,9999,Yes,,2,1,6,,,,,10,,,,4863,41.95,73200,88,934,1585,22
2021,5493001FXF3J5C0QWQ87,16700,SC,45015,45015020713,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,2,2,2,1,1,1,1,2,215000.0,,3.045,,3,,,,,,,,1,2,2,2,2,405000,1,1,3,5,1,,26.0,,9,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,65-74,55-64,Yes,Yes,2,1,6,,,,,10,,,,2524,14.46,82100,93,718,983,24
2021,5493001FXF3J5C0QWQ87,25940,SC,45013,45013002107,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,2,2,2,31,1,1,1,2,445000.0,,3.055,,3,,,,,,,,1,2,2,2,2,715000,1,1,3,5,1,,25.0,,9,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,1,2,2,>74,>74,Yes,Yes,2,1,6,,,,,10,,,,11260,49.28,73200,95,2033,2671,14
2021,5493001FXF3J5C0QWQ87,16700,SC,45015,45015020404,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,2,2,2,31,1,1,1,2,525000.0,,3.045,,3,,,,,,,,1,2,2,2,2,825000,1,1,3,5,1,,31.0,,9,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,>74,>74,Yes,Yes,1,1,6,,,,,10,,,,4511,31.94,82100,143,1201,1506,11
2021,5493001FXF3J5C0QWQ87,34820,SC,45051,45051051201,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,1,2,2,2,31,1,1,2,2,285000.0,,3.43,,3,,,,,,,,,2,2,2,2,505000,1,1,3,5,1,,68.0,,9,9,3.0,,,,,3.0,,,,,2,2,6.0,,,,,6.0,,,,,2,2,2,1,2,2,65-74,65-74,Yes,Yes,1,1,6,,,,,10,,,,1521,13.21,66300,110,468,1297,27
2021,5493001FXF3J5C0QWQ87,25940,SC,45013,45013002201,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,2,2,2,31,1,1,2,2,255000.0,,3.31,,3,,,,,,,,,2,2,2,2,425000,1,1,3,5,1,,77.0,,9,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,>74,>74,Yes,Yes,1,1,6,,,,,10,,,,7602,9.98,73200,156,2580,3390,15
2021,5493001FXF3J5C0QWQ87,16740,SC,45091,45091061502,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,2,2,2,31,1,1,1,2,205000.0,,3.38,,3,,,,,,,,12,2,2,2,2,355000,1,1,3,5,1,,37.0,,9,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,65-74,>74,Yes,Yes,1,1,6,,,,,10,,,,8636,15.41,77300,81,2462,3143,21
2021,5493001FXF3J5C0QWQ87,34820,SC,45051,45051060101,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,2,2,2,31,1,1,1,2,105000.0,,3.615,,3,,,,,,,,1,2,2,2,2,175000,1,1,3,5,1,,19.0,,9,10,2.0,,,,,5.0,,,,,1,4,5.0,,,,,8.0,,,,,1,4,2,5,1,4,>74,9999,Yes,,1,1,6,,,,,10,,,,3223,17.38,66300,73,670,1254,27
2021,5493001FXF3J5C0QWQ87,24860,SC,45045,45045003015,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,2,2,2,31,1,1,1,2,155000.0,,3.205,,3,,,,,,,,1,2,2,2,2,275000,1,1,3,5,1,,34.0,,9,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,8407,19.56,73100,168,2484,2845,14
